Codes,Names,over65,Workingage,Couple_househol_ with_dependent_children,Couple_household_without_dependent_children,One_person_household,Other_multi_person_household,Good_health,Fair_health,Bad_health,No_cars,car1,car2,No_qualifications,Level_1_qualifications,Level_2_qualifications, Apprenticeship,Level_3_qualifications,Level_4_qualifications_and_above,Other_qualifications,Employment Rate,Unemployment Rate,Economically_active_rate,Economically_inactive_rate,lntheft
E01000531,Brent 033B,9.58,72.41,15.1,16.2,35.6,19.9,82.8,11,6.3,59.3,34.6,5.7,19,8.6,9.5,1.2,9,38.1,14.7,64.5,7.8,58.02,19.93,2.67
E01000532,Brent 033C,10.25,74.91,11.1,18.6,41.5,16,84.5,9.8,5.8,56.5,34.9,7.2,18.7,10.1,9.3,1.3,9.5,43.4,7.7,69.2,7.2,61.96,18.59,2.84
E01000533,Brent 031E,8.1,69.41,15,12.6,37.3,17.5,79.8,13.7,6.6,61.7,30.5,7,23.8,11.2,13.1,1.1,7.7,24.5,18.6,58.9,11.5,52.77,21.43,3.14
E01000534,Brent 033D,9.86,69.24,19.5,16.7,28.7,21.4,85.2,10.3,4.5,33.9,50.2,12.6,16.9,9.8,11,1.4,10.7,38.5,11.7,63,7.3,54.42,20.23,1.91
E01000535,Brent 031F,6.82,73.23,17.1,17.6,29.3,20.1,84.3,10.3,5.3,44.6,44.9,9.5,16.4,11.5,11.5,1.7,10.7,34,14.3,63.6,9.4,57.65,19.54,1.86
E01000536,Brent 004A,17.99,66.18,16.9,31.4,21.5,22.6,84.9,11.4,3.8,23,32.4,31,12.4,9.1,10.3,0.8,11.7,44.9,10.9,60.2,6.5,54.61,22.89,3.42
E01000538,Brent 004B,15.11,65.49,26.2,36.6,13.8,17.2,85.8,10.8,3.4,7.5,39.3,37,14.2,8.1,12.8,1.4,9.7,43.4,10.4,64.6,4.6,52.4,21.43,1.33
E01000539,Brent 004C,18.95,65.74,18.1,32.5,24.8,16.2,81.1,14,4.9,20.1,40.5,29.2,18,7,12,1,10.3,42.3,9.3,64.7,5.5,52.69,22.13,1.65
E01000540,Brent 004D,18.92,65.57,20.2,36.9,14.4,19.7,82.3,13.7,4,9.3,38.2,36.3,14.3,7.3,11.4,1.2,10.9,46.5,8.4,62.3,5.9,52.81,23.26,1.68
E01000541,Brent 004E,14.37,67.35,22.2,25.1,24.4,18.8,82.9,12.7,4.5,31.7,41.9,20.6,17.8,8.4,9.7,1.3,8.3,40.6,13.8,67.1,4.2,54.55,19.63,1.96
E01000543,Brent 003E,13.72,68.73,19.2,26.2,17.2,27.6,83,11.8,5.3,29.8,41.2,21.6,18.8,8.6,10.5,1.2,9.9,37.5,13.6,57.8,7.8,53.07,22.93,3.44
E01000544,Brent 034A,6.3,71.19,14.2,11.2,39.8,19.3,82.3,10.9,6.8,65.5,30.5,3.5,19.7,11.5,11.5,1.1,12.8,31.4,12.1,56.7,11.6,51.72,23.07,1.5
E01000545,Brent 028A,8.29,80.04,9.2,21,39.5,21.6,85.6,9.4,5,64.1,31.1,4.2,12.3,7.4,6.9,1.4,9,49.1,13.8,70.8,7,68.88,16.64,3.67
E01000546,Brent 028B,9.91,74.83,11.8,22.2,37.7,18,84.6,10.3,5,57.4,35.4,6.2,13.5,5.9,8.5,1.1,8.1,50.6,12.3,70.6,5.2,62.37,18.42,2.8
E01000547,Brent 028C,9.44,74.21,13.9,21.2,35.3,19.5,83.8,11.1,5.2,59,35.7,4.7,15.2,7.3,7.8,1.2,10.8,44.9,12.8,64,7.6,58.82,20.51,1.82
E01000548,Brent 028D,7.88,80.68,7.6,21.9,43.6,17.9,82.5,11.7,5.8,68,28.4,2.8,14.2,8.2,7.5,1,9.2,44.1,15.7,68.4,7.3,65.51,19.57,4.12
E01000549,Brent 028E,8.26,75.05,14.9,24.7,34.5,16.1,87.7,8.5,3.8,51.5,42.7,5.3,9.9,5.5,8.2,0.9,8.7,56.7,10,74.2,4.8,65.24,15.55,1.74
E01000550,Brent 034B,9.97,71.62,10.7,18,40.1,14.1,79.4,12.9,7.7,61.9,33.4,4.2,19.8,10,10.7,1,9.4,35.3,13.8,59.4,11.4,54.93,22.84,2.76
E01000551,Brent 034C,8.35,64.02,13.9,10,41.9,12.2,79.1,13.5,7.5,67.4,28.2,4.1,25,14.6,13.5,1.3,9.4,24.1,12,50.9,17.7,46.28,22.35,2.2
E01000552,Brent 034D,9.3,64.5,16,7.8,44,12.5,76.7,13.7,9.6,68.1,28.2,3,25.4,13.9,15.6,1.6,9.7,19.9,13.9,48.1,18.2,45.02,24.49,1.97
E01000553,Brent 015A,8.24,73.43,15.9,16.4,24.1,31,83.2,11.7,5.1,51.4,38.5,9.2,20.6,9,9.9,1.3,10.3,31.8,17.1,59.7,7.5,56.05,22.48,3.09
E01000554,Brent 015B,8.29,70.49,18,19,25.2,24,83.7,11,5.2,46,43,9.7,18.5,9.6,9.7,1.4,8.5,35.1,17.2,64.4,7.1,55.36,19.55,0.48
E01000555,Brent 015C,11.29,70.27,18.8,22.3,24.2,24.8,85,9.5,5.5,30.1,44.7,20.1,12.9,8.8,9.7,0.8,9.7,46.7,11.4,62.6,5.6,53.64,21.98,1.21
E01000556,Brent 015D,4.55,79.24,11,15.4,39,22.1,86,9.6,4.4,70.1,24.5,3.6,15.5,9.3,10.4,0.6,10.2,35.4,18.6,62,10,62.49,20.12,3.62
E01000557,Brent 015E,7.2,78.72,13.3,21,32.1,25,85.1,10.2,4.8,57.7,35.4,5.3,13.3,8.8,7.5,1.3,8.8,45.6,14.8,63.9,7.1,62.33,20.15,1.86
E01000558,Brent 015F,9.88,76.13,11.7,19.2,38.9,20.9,84.4,10.7,4.8,50.5,35.6,11.9,13.3,7.7,6.4,1,11.4,50.2,10,65.5,8,61.67,20.23,2.72
E01000559,Brent 018E,10.18,79.15,10.5,23.1,36,22,83.5,11.7,4.7,55.2,36.9,6.8,11.9,7.8,9.5,0.7,10.6,48.5,11,64.8,7.4,64.17,21.48,2.43
E01000560,Brent 023D,8.41,78.85,12.4,20.8,35.5,22.8,87.2,9.2,3.6,48.4,38.1,11.1,8.6,5.7,7.4,1.1,10.6,57.5,9,67.6,6.7,63.76,19.67,1.6
E01000561,Brent 023E,8.37,74.63,13.1,18,38.9,19.6,84.3,10.7,4.9,58.6,34.9,5.5,13.6,7.9,7.2,1.9,10.7,47.3,11.5,67.2,5.4,58.84,20,2.74
E01000562,Brent 008A,16.86,65.44,20.2,35.6,15.6,19.6,84.6,11.8,3.6,12.1,29.8,37.3,11.7,8.5,11.9,0.8,11.9,45,10.3,63.4,4.3,53.1,22.8,0.95
E01000563,Brent 008B,18.24,66.62,19.4,38,14.1,18.6,82.7,12.7,4.6,8,39,36.9,13.1,8.2,14.6,2,10,40.1,12,60.9,5.8,52.23,24.93,1.81
E01000564,Brent 013A,7.83,71.4,24.6,21.5,17.8,25.2,86.3,10.8,2.9,30.7,39.6,22,17.4,9.9,11.2,0.8,9.6,31.4,19.9,58.6,6.5,52.61,23.5,2.38
E01000565,Brent 013B,12.02,68.3,19.3,24.9,25.6,18.7,82.6,12.4,5,31.4,36,23.3,18.6,9.9,11,1.3,9.6,37.4,12.3,56.1,10.2,50.37,24.92,1.56
E01000566,Brent 008C,15.37,66.78,20,32,16.4,21.1,84.9,10,5.1,14.3,40,34.5,16.8,9.8,13.3,0.9,10.2,35.7,13.3,60.4,7.1,52.38,23.84,1.18
E01000567,Brent 016A,15.07,65,21.4,23.5,25.7,18.3,83.5,10.5,6,30.5,39.7,23.3,14.9,11.9,10.4,1.4,9,37.7,14.6,61.1,6.8,52.25,20.8,1.98
E01000568,Brent 008D,7.74,83.36,11.8,16.1,55.8,11.3,89.4,7.8,2.8,51.3,36.3,9.1,6.7,5.8,7.7,0.4,21.2,48.4,9.9,52.1,3.4,58.76,28.05,3.45
E01000569,Brent 008E,15.27,67.22,25.6,34.4,10.6,21.3,84.8,12.4,2.8,9.6,37.9,40.6,12.5,10.2,13,1.5,11.6,40.5,10.6,63.5,4.3,54.7,22.17,1.16
E01000570,Brent 012A,11.08,67.95,19.1,25.1,20.1,19.3,81.4,12.8,5.8,38.4,39,17.3,20,13.6,12.4,1.4,9.2,27,16.3,57,9.2,50.28,24.51,1.33
E01000571,Brent 012B,14.65,66.61,19.9,26.6,14.5,28.5,81.7,13.5,4.9,19.5,38.8,31.7,18.9,9.4,9.8,1.2,10.7,35,15,54.7,8.4,48.21,26.13,1.86
E01000572,Brent 007A,12.22,67.32,23.2,26.2,18.2,22.3,88,9,3,19.3,48.7,24.2,14.4,8.3,12.8,1.4,9.6,39.4,14.1,62.9,7,52.73,20.86,0.71
E01000573,Brent 007B,13.66,65.41,22.6,25.7,18.8,23.6,84.3,11.4,4.3,25.5,50,17.3,19.7,9.7,10.9,1,10.6,34.8,13.3,59.5,5.9,49.69,22.43,0.92
E01000574,Brent 007C,11.96,67.38,22.7,22.9,18.5,23.1,84.7,11.9,3.4,22,43.5,25,16.5,8.8,12,1.7,10.1,37,13.9,64.1,6.3,52.92,20.22,0.79
E01000575,Brent 007D,10.24,70.67,18.9,23.5,22.6,26.2,86.4,9.1,4.5,31.8,44.8,20.5,13.5,9.7,8.9,0.8,10.3,38.7,18.2,64.8,6.1,56.06,20.27,3.37
E01000576,Brent 012C,15.06,67.47,15.5,24.2,22.7,29.4,83.2,13.6,3.2,30,42.1,20,15.3,9.7,10.9,0.8,9.8,38.2,15.3,60.8,5.3,52.23,22.71,2.38
E01000577,Brent 007E,5.62,66.53,24.6,16.1,20.3,19.7,84.6,10.2,5.2,41.7,49.2,7.8,19.4,11.4,10.9,0.9,9.6,30.7,17.1,56.5,9.2,46.57,22.89,2.52
E01000578,Brent 012D,19.93,64.96,13.2,22.2,33.8,20.3,78.2,14.8,7,37.3,41.9,16,19.1,8,9.8,1,7.8,38.2,16.1,58,7.3,49.7,22.95,2.4
E01000579,Brent 032A,8.65,76.04,11.1,15.5,29.9,26.8,84.4,10.6,5,49.8,41.9,7.2,14.6,9.1,10.9,0.9,9.6,42.3,12.5,66.8,7.9,61.2,19.16,2.06
E01000580,Brent 032B,10.66,70.2,19.4,24.1,32.8,14,85.8,9.8,4.4,37.5,48.4,12.1,13.3,7.2,9,0.9,8.9,53.2,7.5,70.1,6,58.48,17.27,2.87
E01000581,Brent 030E,9.1,69.81,19.4,19.7,27.2,19.4,87.5,8.5,4,43.4,43,11.8,9.6,8.5,9.8,1.3,9.9,49.9,11,72,4.8,59.16,16.45,2.2
E01000582,Brent 032C,9.31,69.79,23.1,21.3,27.5,17.5,88.1,9.2,2.7,38.5,46,13.6,11,5.6,8.4,1,10.3,55,8.8,72.6,4.5,59.01,16.35,1.87
E01000583,Brent 032D,7.61,77.25,13,21.1,35.9,20,85,9.5,5.5,51.7,41.3,6.7,10.6,6.1,8.2,0.9,11,52.4,10.9,69.6,6.1,63.22,18.43,3.41
E01000584,Brent 033E,11.98,69.79,18.3,24.4,24.1,20.8,82.1,12.9,5,39.3,45.7,12.1,19,7.5,10,0.9,11.1,40.3,11.1,66.5,6.4,57.46,18.17,0.86
E01000585,Brent 033F,8.71,71.83,18.1,19.4,27.9,24.1,84.8,11,4.2,46.7,42.5,9.5,16.7,6.4,8.5,1,9,44.1,14.4,72,6.4,60.75,15.27,2.11
E01000586,Brent 032E,4.84,79.08,10.2,17,34.6,26.1,87.7,7.9,4.4,60.7,34.3,4.5,12.7,9,8.9,1.1,8.4,46.5,13.3,70.7,5.9,64.51,17.38,3.81
E01000587,Brent 001A,16.33,64.23,20.5,33.2,12.2,24.9,79.9,12.1,8,14.6,40,29.3,26.2,11.1,11.1,1.5,8.5,27.6,13.9,61.3,6.4,49.18,22.89,1.95
E01000588,Brent 002E,8.42,66.95,20.5,19.7,17.6,21.5,83.2,11.4,5.4,27.1,42.8,21.7,19.9,14.2,13.3,1.3,9.3,27.2,14.8,58.2,8.4,48.61,22.76,3.71
E01000589,Brent 001B,13.46,67.96,22.5,30.9,16.6,18.9,82.6,12,5.5,21.1,45.4,26.4,22.7,11.1,11.5,1.5,8.8,30.3,14,60.9,4.8,52.12,23.76,4.1
E01000590,Brent 001C,14.76,66.46,20.9,26,26.5,17.6,81.1,14,4.9,24.1,44.4,24.9,21.1,8.5,11.1,2.7,9.6,33.4,13.6,61.7,5.7,51.54,22.75,1.21
E01000591,Brent 003F,11.9,69.83,19.5,25.1,20.5,25.5,82.1,12,5.9,33.1,45.2,17.7,21.2,12,10.6,0.9,7.9,32.8,14.7,55.6,6.7,50.17,26.07,3.56
E01000592,Brent 001D,13.26,69.24,16.6,27,22.1,22.3,79.9,14.3,5.8,25,40.4,23.8,21.4,10.2,12.7,1.6,9.6,30.4,14.1,60.8,7,53.08,23.61,2.41
E01000593,Brent 001E,9.09,69.03,22.5,25.3,16.2,18.8,83.8,11.5,4.6,22.1,49,22.4,18.7,11.8,13.3,1,9.3,32,14,62.5,7,53.23,21.27,1.03
E01000594,Brent 001F,12.01,67.61,22.4,22.6,20.9,26.4,83.2,12.4,4.4,28.7,43.5,21.1,20.6,10.9,10.6,1.6,9.2,32.4,14.6,61.1,6.8,52,22.56,3.36
E01000595,Brent 027A,7.42,62.14,18.4,10,30.4,15.6,81.1,11.7,7.2,55.2,36.1,7.6,27,16.5,11.8,1.5,8.9,20.1,14.2,45.8,13.3,39.17,27.77,1.78
E01000596,Brent 021A,10.27,61.51,14.4,10,33.3,13.8,77.9,15,7.1,59.1,31.4,8.8,31.5,16.4,11.6,1.7,11,15.7,12.1,45.2,17.3,40.5,26.74,2.04
E01000599,Brent 027D,9.56,65.6,17,12.1,29.9,16.6,80.4,12.5,7.2,51.3,41.5,5.7,24,12.4,12.8,1.4,12.5,26.8,10.1,53.5,12.1,47.25,23.55,2.68
E01000600,Brent 027E,8.4,64.68,15.8,11.2,36.5,14.4,80.4,12.3,7.4,51,40.9,6.9,25.9,14.8,12.3,1.5,9.7,24.3,11.6,48.9,13.2,42.6,27.21,4.08
E01000601,Brent 021B,6.11,60.47,22.2,8,22,16.6,82,12.1,5.9,43.4,44,10.7,22.7,15.9,13.1,0.9,12.4,19.4,15.8,49.7,11.1,39.53,24.85,4.78
E01000602,Brent 021C,9.93,62.95,17.2,14.3,27.9,17,79.6,13.3,7.1,44.5,41,11.9,26,15.3,15,1.4,11.4,17.4,13.4,48.5,13.7,43.09,25.96,2.21
E01000603,Brent 021D,7.13,65.43,16.8,15.1,28.1,14.8,82.1,11.8,6.1,50.3,42.2,6.8,22.7,13,12.6,1,11,25.6,14.1,57,11.7,48.08,21.92,1.55
E01000604,Brent 021E,8.72,64.1,19.2,12.6,22.3,17.2,79.3,14.4,6.2,42.7,44.5,10.8,24.3,16.3,14.8,1.2,12.7,18.6,12.1,45.5,13,41.85,27.46,1.38
E01000605,Brent 021F,9.15,63.3,16.3,11.8,23.7,17.4,77.6,14.7,7.7,50.6,36,11.2,29.5,14,15,1.7,10.2,17.6,12,46,14.2,41.46,26.59,1.57
E01000606,Brent 016B,12.4,66.2,18.7,19,27.2,21.9,82.3,12.7,5,35.1,48.1,13.8,18.6,10.6,10.2,1.4,8.8,27.5,22.9,60.7,5.4,50.64,22.46,1.54
E01000607,Brent 013C,10.84,68.47,20.1,18.9,21.1,28.9,85.3,10.5,4.2,30.7,48.7,17.4,17.7,10,10.3,0.9,10,32.4,18.8,57.3,6.8,51.28,23.44,0.99
E01000608,Brent 013D,9.85,68.23,23,15.4,22.3,26.2,85.7,9.5,4.8,39.9,40.7,14.9,15.8,10.5,9.5,1,8.7,35.8,18.8,58.1,6.8,52.32,20.99,3.28
E01000609,Brent 016C,8.95,68.83,23.1,20.9,17.7,26.7,84.8,10.7,4.5,32.2,44.7,19.7,17.4,11.1,12.1,0.7,10.1,30.4,18,58.4,7.2,51.32,22.27,1.47
E01000610,Brent 019A,12.97,66.67,20.3,19.6,25.6,23,80.8,12,7.2,36.9,42.8,14,20.6,10.7,11,1.2,7.4,30.9,18.2,59.1,7.4,51.27,21.6,1.64
E01000611,Brent 016D,11.24,70.74,16.1,18.9,24.4,27.8,80.9,12.2,6.9,40.3,41.6,14.8,20.6,11.4,9.3,1.1,7.9,33.7,15.9,56.5,9.2,53.78,23.96,1.96
E01000612,Brent 019B,10.47,70.64,20.2,20.3,21.7,27.3,81.8,12.5,5.7,35.5,41.3,17.9,18.6,11,11.1,1.3,9,30.7,18.2,60,5.9,53.33,22.88,1.29
E01000613,Brent 013E,7.89,71.55,20.2,20.2,29.4,17.5,84.2,10.8,5,43,44.1,10.3,16.8,11.3,10.5,1.1,9.8,36.9,13.7,59.9,7.3,54.21,22.18,1.09
E01000615,Brent 017B,9.79,70.31,22.2,24.5,19,19.4,83.3,12.4,4.3,42.8,40.7,11.5,18.4,10.6,11.6,1.6,9.7,32,16.1,60.5,7.9,53.9,22.46,3.62
E01000616,Brent 020A,10.36,73.27,16.2,19.5,24.9,30.5,85.5,10.3,4.2,44.5,40.8,12.3,15.9,9.4,10.3,1.4,9.4,32.7,20.9,62.7,7.1,58.5,20.03,2.74
E01000617,Brent 017C,13.71,69.6,18.8,24.1,22.3,27.3,82.3,11.7,5.9,32.8,42,18.9,19.5,10.4,10.6,1.2,8.9,28.3,21.1,56.6,6.9,51.71,25.03,1.74
E01000618,Brent 017D,15.68,62.97,18,26,21.4,22.4,79.4,15.3,5.3,27.8,44,19.8,23.6,11.9,9.9,1.6,9,27.3,16.7,54.4,7.8,46.74,24.59,1.9
E01000619,Brent 017E,13.86,66.83,20.9,27.9,12.3,24.3,82,13,5,22.2,45.9,25.4,22.7,12.2,10.6,1.3,9.4,27.2,16.7,59.5,6.8,51.69,23.55,1.8
E01000620,Brent 020B,14.69,69.15,18.2,25.2,18,27.4,80.5,10.6,8.9,34.2,41.4,17.6,23.1,11.3,11.6,1.2,9.6,27.1,16.2,55.4,7,50.67,26.01,1.95
E01000621,Brent 020C,11.19,69.98,21.6,19.5,17.1,28.8,82.9,13.2,3.9,34.8,41.2,18.5,22.4,11.6,10.4,0.8,8.8,25.8,20.2,60.6,7.2,55.2,21.36,2.06
E01000622,Brent 010D,8.2,71.29,19.2,16.4,33.8,16.5,81.6,13.2,5.2,45.6,40.7,10.7,19.5,12.3,12.7,1.4,9,24.3,20.7,61.9,9.9,54.57,21.39,0.93
E01000623,Brent 005C,12.19,67.61,24.8,27.5,16.6,21.1,83.5,12.5,4,17.6,46.4,24.8,20.5,12.3,12.9,1.8,11,27.4,14,60.6,7.8,51.69,21.9,2.89
E01000624,Brent 005D,16.69,63.25,18,30.1,25.3,18,81.3,12.4,6.3,17.5,49,26.9,21.5,12.4,11.3,2.3,9.3,27,16.1,59.3,5.8,48.28,23.02,1.08
E01000625,Brent 009E,17.09,64.03,18,24.4,31.1,16,80,13.6,6.4,32.7,42.2,18.7,24.4,9.8,10.9,1.5,10.7,28.3,14.4,56.8,7.2,47.21,25.33,1.99
E01000626,Brent 010E,8.8,65.33,16.9,10.2,32.7,12.9,77.1,15.1,7.9,50.2,40.3,8.5,24,14.4,16.3,1.1,10.9,18.2,15.2,50.5,14.1,45.93,24.27,1.2
E01000627,Brent 014E,8.63,67.32,18.2,15.3,27.1,20.8,82.6,12,5.4,44.9,42.1,10.4,26.2,12.3,11.9,1.3,9.8,21.3,17,56.3,11.5,48.95,23.26,3.84
E01000628,Brent 014F,8.14,68.75,18.5,15.8,29.4,21.5,81.9,13.1,5.1,48.5,33.5,15,22.1,12.6,11.3,1.2,10.2,25.7,16.8,55.7,10.9,49.76,23.59,2.7
E01000629,Brent 005E,12.14,69.65,22.1,27.4,19.7,20.3,82.1,13,5,20.3,49.4,22.8,22.8,11.2,11.7,2,10.2,24.4,17.7,61.7,6.7,54.58,22.14,0.74
E01000630,Brent 026E,8.78,71.61,14.6,15.6,28.5,24.3,81,12.6,6.5,49.7,37.2,10.4,20.4,10.7,10.5,1.2,9.7,29.6,17.9,54.5,9.6,51.91,24.71,4.43
E01000631,Brent 019C,11.69,71.31,18.2,23.8,14.9,34.1,83.8,10.5,5.6,32.8,38.9,21.6,19.3,10.2,11.2,0.7,7.6,31.4,19.6,58.8,5.6,53.29,24.6,2.41
E01000632,Brent 029E,12.75,70.05,19,24.3,13.3,37,81,13.1,5.9,34.9,43.6,17.3,23.8,11.1,8.5,1.1,8.7,26,20.7,56.9,6.6,51.65,25.3,3.09
E01000633,Brent 019D,10.86,73.6,17.5,17.7,16.8,39.2,82.3,12,5.7,47.8,35.2,12.3,22.1,10,8.5,0.7,8.1,30.6,20,58.1,7,54.82,23.76,3.27
E01000634,Brent 019E,5.98,71.45,24,16.8,17.7,27,85.5,10.4,4.1,41.2,43.4,12.9,19.1,12.2,9.8,0.7,9.3,28.4,20.5,58.4,7.9,52.28,22.45,1.98
E01000635,Brent 020D,7.95,73.17,18.3,19.4,22.5,27.8,84.2,11.1,4.8,55.4,34.1,8.9,17.8,11.3,10.8,0.5,7.9,30.8,21,55.9,9.1,55.69,22.11,4.85
E01000636,Brent 020E,11.54,73.25,14.5,24.1,17,34,81,14.1,4.9,36.1,42.5,16,23.3,8.7,11,1.2,9.7,25.6,20.5,58.7,6.9,57.21,22.47,2.98
E01000637,Brent 022B,8.84,73.55,13.8,16.2,31.4,25.5,82.5,10.8,6.7,56.8,36.8,5.5,18.2,9.4,9.2,1.3,11.6,34.1,16.2,61.7,9.1,57.67,20.42,1.68
E01000638,Brent 024A,5.67,72.82,14.1,14.5,30.6,23.2,83.9,12.1,4.1,66.3,27.4,5.3,22.3,10.1,9,1,9.4,24.6,23.7,60.9,11.3,56.68,19.08,3.17
E01000639,Brent 022C,6.94,78.88,12,21.1,31.8,26.7,88.6,8,3.5,60.5,33.2,5,12.7,8,7.3,1.2,9.6,44,17.2,70.9,7.5,67.33,15.88,1.74
E01000640,Brent 024B,6.64,72.44,14,14.2,31.2,26.1,83.7,12,4.2,64.7,28.7,5.1,23,9.8,10.4,0.7,9.2,28,18.9,59.7,9.1,54.69,22.14,3.25
E01000641,Brent 024C,7.15,70.8,15.8,13.6,28.4,25.3,83.5,11.8,4.6,56.8,35.4,7.3,18.7,9.5,13.4,0.9,8.9,29.6,19.1,62.6,8.6,54.65,20.67,1.82
E01000642,Brent 022D,6.43,80.77,10.5,20.8,37.4,22.6,86.6,8.9,4.5,64.8,29.4,5.4,12.5,6.3,9.1,0.7,10.1,43.1,18.3,67.6,7.5,66.36,18.06,3.91
E01000643,Brent 024D,10.16,65.89,16.5,9.6,36.4,15.6,79.5,13.6,6.9,50.8,40.2,7.3,22.9,14.1,11.8,1.3,10.1,26.6,13.2,51.3,10.9,43.76,27.21,3.33
E01000644,Brent 022E,8.98,71.71,15.7,16.3,28.6,25.4,84.1,11.1,4.8,52.6,38.6,7,18.1,8.8,9.7,1.6,10.8,36,14.9,64.2,7.5,56.21,19.87,2.7
E01000645,Bromley 007A,21.31,61.02,27.6,45,18.7,5.2,87.6,10,2.5,4.1,34.7,41.4,8.7,9.3,14.8,1.3,13.2,48.5,4.2,65.3,3.2,50.62,21.82,1.98
E01000646,Bromley 016A,20.05,63.44,19,28.3,37.8,6.7,83.5,11.4,5.1,26.2,43.5,22.9,15.8,10.8,14.3,1.6,10.1,41.7,5.7,69.8,3.6,52.29,18.59,3.6
E01000647,Bromley 016B,10.32,66.07,27.9,32.4,22.4,4.9,89.2,9.3,1.5,16.9,51.5,24.9,14.8,13.3,16.5,2.3,12.4,35.8,5,73.9,4.1,56.68,15.04,1.32
E01000648,Bromley 016C,12.21,64.74,31.9,30.2,23.1,5,89,8.7,2.3,13.6,49.1,27.6,14,12.1,13.7,2.8,13.3,38.7,5.4,70.7,4,54.59,16.8,3.18
E01000649,Bromley 007B,20.44,60.88,24.4,34.1,27.4,5.4,85.7,9.6,4.7,10.2,45.1,32.9,12.8,8.6,15,1.4,11.1,45.9,5.2,66.8,3.6,50.48,19.54,1.51
E01000650,Bromley 022A,20.93,58.97,25.2,32.8,27.1,7.2,85.3,10.8,3.9,16.5,36.3,34.9,12.6,10.3,14.5,1.6,10.5,44.8,5.7,63.1,4.2,46.99,21.82,0.74
E01000651,Bromley 020A,25.86,56.7,24.9,28.4,35,5.9,79.8,13.1,7.1,18.1,51.3,23.5,18.4,10.4,15.7,2.2,11.2,37.1,5.1,68,3.8,48.77,17.51,0.21
E01000652,Bromley 022B,21.05,60.55,24.6,38.2,24,5.2,84.9,11.1,4,12.3,44.9,32.2,16.7,13.3,17.9,2.4,11.7,33.4,4.6,67.5,2.6,51.32,19.94,1.31
E01000653,Bromley 016D,26.2,56.82,23.4,36.8,27,5.9,81.5,14,4.5,13.2,36.8,38.5,16.3,9.1,14.3,1.4,11,39.8,8.1,57.6,4.2,43.56,25.44,2.02
E01000654,Bromley 039A,11.15,67.79,26.1,40.5,18.3,4.9,85.9,10.6,3.5,6.2,35.2,39.7,17.4,19,19.6,4.7,14.1,21.8,3.4,74.6,4.6,59.86,15.48,-0.24
E01000655,Bromley 039B,10.73,66.67,26.7,36.2,18.4,6.1,87.1,9.5,3.4,6.7,35,42.7,15.3,20.9,20.9,4.2,13.6,21.5,3.6,71.5,4.4,57.07,16.93,1.11
E01000656,Bromley 039C,15.79,66.36,25.5,42.9,17.4,7.5,87.8,9.8,2.4,6.2,31.3,41.8,18.1,17.5,17.7,3.7,13.7,25,4.3,71.7,3.9,58.64,17.79,1.27
E01000657,Bromley 039D,15.44,65.41,19.9,33.7,28.3,5.2,85.5,11.2,3.3,12.8,45.5,31.5,22,14.4,19.2,3.8,14.4,22.3,3.9,71.3,4.3,56.58,17.2,3.32
E01000658,Bromley 042A,26.88,58.39,18.5,47.1,21.5,5.8,81.4,13.3,5.2,9.5,37.5,38.5,21.6,15.5,17.4,6,11.9,22.8,4.7,62.4,4.4,50,24.08,1.64
E01000659,Bromley 039E,10.53,68.4,30.2,35.6,17.1,6.5,88.2,9.4,2.4,5.2,33.3,45.2,13.3,22.7,19.6,5.2,14.2,20.7,4.3,74.4,3.7,60.6,15.46,1.01
E01000661,Bromley 026A,12.61,62.67,15.5,17.6,30,6.6,78,14.8,7.2,39.8,42.5,13.7,29.4,16.6,16.9,2.5,9.7,18.2,6.7,54,11.3,43.85,25.66,2.17
E01000662,Bromley 026B,15.39,64.1,21.9,28.4,27.2,7.6,81.3,13.4,5.3,23.8,45.4,24.4,25.3,14.2,16.8,3.3,10.6,24.4,5.3,63.2,7.7,50.2,19.87,2.08
E01000663,Bromley 026C,17.58,59.74,21.4,26.4,29.8,7.7,80.6,13.5,5.9,23.8,48,22.1,25.5,13.4,16,3.7,10.7,24.2,6.4,64.5,6,47.94,19.91,1.12
E01000664,Bromley 026D,15.09,62.73,24,27.8,24.7,7.5,84.5,11.6,3.9,19,44,26.3,22.8,16.9,16,5.2,12.1,22.7,4.4,63.4,7.5,50.81,19.75,1.83
E01000665,Bromley 033A,15.87,63.86,20.9,33.9,27.1,6.9,84,11.7,4.3,15.6,46.5,28.7,18.4,15.5,18.5,4.1,12,27.2,4.3,68.4,4.5,53.17,18.24,1.89
E01000666,Bromley 033B,25.19,59.81,19.5,43,25.9,5,87.2,10,2.8,9.1,35.6,38.4,15.2,13.3,18,3.2,10.9,35.1,4.3,64,4,49.39,22.49,2.29
E01000667,Bromley 033C,22.59,57.9,25.9,42,19.9,5.8,85.9,10.3,3.8,6.1,37.5,37.3,16.5,13.7,18.5,4.1,11.8,31.7,3.8,60.4,3.5,45.74,23.27,1.31
E01000668,Bromley 020B,11.48,67.72,25.5,25,31.5,6.8,86.8,10.2,3,21.1,54,20.8,16.1,15.4,16,2.4,10.6,34.8,4.8,72.3,3.9,57.41,16.23,2.78
E01000669,Bromley 020C,12.56,65.61,21.5,26.2,33.9,6.5,86.4,10.2,3.5,23,54.6,19.3,16.8,15.4,15,2.5,12.2,34,4,71.4,5.7,56.1,15.31,1.28
