Codes,Names,over65,Workingage,Couple_househol_ with_dependent_children,Couple_household_without_dependent_children,One_person_household,Other_multi_person_household,Good_health,Fair_health,Bad_health,No_cars,car1,car2,No_qualifications,Level_1_qualifications,Level_2_qualifications, Apprenticeship,Level_3_qualifications,Level_4_qualifications_and_above,Other_qualifications,Employment Rate,Unemployment Rate,Economically_active_rate,Economically_inactive_rate,lntheft
E01000065,Barking and Dagenham 007A,17.28,60.25,16.3,17.2,41.5,9.7,73.8,15.6,10.6,47.5,38.8,11.2,35.7,15.2,13.3,1.5,7.5,17.2,9.5,54.6,11.4,43.55,23.1,1.85
E01000066,Barking and Dagenham 011A,10.63,64.06,22,18,30.5,16.1,82.3,12.5,5.2,31.9,44.8,17.9,25,13.3,12.8,2.6,11.3,22,12.8,57.9,7.4,45.49,23.13,2.18
E01000067,Barking and Dagenham 011B,11.58,65.46,23.1,24,25.3,14.6,83.5,11.9,4.6,29.5,43.7,21.1,23.1,14.2,15.9,3.1,10.4,23.6,9.7,55.3,8.7,46.52,24.28,1.4
E01000068,Barking and Dagenham 016E,10.44,68.68,21.4,23.8,18.2,26,84.3,11.7,4,25.1,42.2,26.4,22.5,13.5,12.3,2,11.2,26.5,12,58.2,6,50.31,23.33,2.1
E01000069,Barking and Dagenham 011C,10.21,66.65,30.6,28.3,16,15.6,85.5,10.6,3.9,15.8,44.6,28.7,20.5,14.4,16.5,2.8,12.2,23.7,10,59.7,4.3,48.89,22.97,1.04
E01000070,Barking and Dagenham 011D,14.18,64.71,24.7,29.6,17.9,19.2,82.2,13.4,4.4,25.6,42.8,23.1,22.8,13,13.9,2.4,10.3,25.7,11.9,57.4,8,47.85,23.54,2.85
E01000071,Barking and Dagenham 011E,12.34,63.74,22.5,24.5,28.3,13.8,83.9,11.1,5,28.2,47.8,18.7,22.3,13.7,13,2,10.6,28.2,10.2,59,8,47.98,21.75,2.32
E01000072,Barking and Dagenham 017E,11.05,61.33,20.3,15.9,30.9,10.6,79.7,13.7,6.7,45,41.3,12.1,32.3,16.8,14.8,3.1,8.7,16.3,8,50.9,11.9,42.54,24.31,2.71
E01000073,Barking and Dagenham 012B,11.55,61.46,23,19,27.9,10.2,78.4,13.8,7.8,35.2,47.4,15,30.6,18,15,3,7.6,17.1,8.6,58.3,10.2,45.46,20.88,1.92
E01000074,Barking and Dagenham 012C,10.27,61.77,20.3,19.4,31.8,7.2,79.3,14.2,6.5,40.4,43.6,13.2,29.3,17.4,16,2.4,9.8,16.7,8.4,57.6,9.4,46.2,20.93,1.34
E01000075,Barking and Dagenham 012D,12.36,62.7,22.7,25.7,25.6,11.9,79.4,12.9,7.7,32.2,46.5,16.9,31.8,16.5,16.7,2.5,8.8,15.4,8.4,54.4,9.2,43.76,25.75,2.67
E01000076,Barking and Dagenham 012E,9,60.56,22,18.5,28.6,11.7,79,15,5.9,39.4,41,15.5,36.2,13.7,15.7,2.2,7.6,16.1,8.5,54.7,11,43.06,22.13,1.71
E01000077,Barking and Dagenham 008F,10.45,65.95,20,19.3,26.6,12,78.7,13.8,7.5,39.5,45.5,13.4,31.4,17,16.4,2.2,8.3,15.6,9.1,56.5,11.8,49.13,22.21,1.83
E01000078,Barking and Dagenham 007B,9.9,63.39,19.9,17.7,28.7,9.9,80.1,13.6,6.3,39.4,43.1,14.9,32.2,17,16.3,1.9,9.3,15.6,7.8,51.3,12,43.34,25.33,1.89
E01000079,Barking and Dagenham 009E,13.91,59.51,21,17.7,31.9,10.2,77,14.4,8.7,42.2,39.7,14.1,33,15.2,14.9,1.7,9.4,18,7.8,53.7,10.6,41.98,24.39,0.26
E01000080,Barking and Dagenham 007C,11.25,63.24,19,21,28.8,10.6,78.3,13.4,8.3,39.9,44.9,12,31.9,15.9,17.6,1.8,8.4,15.8,8.6,55.1,13.3,46.34,21.92,0.66
E01000081,Barking and Dagenham 007D,11.14,64.1,21.8,24.4,26.2,8.2,80.3,13.1,6.6,31.3,49.4,16.5,32.4,16.1,18.5,2.5,8.3,15.2,6.9,57.2,8.8,46.68,22.81,0.86
E01000082,Barking and Dagenham 007E,9.57,63.58,22.5,16.7,33.2,10.1,80.9,13.2,5.9,36.6,46.9,14,29.7,17.4,17.4,2,10.9,15.2,7.4,55.6,10.5,45.1,23.71,2.74
E01000083,Barking and Dagenham 007F,11.53,61.59,21.6,20.8,22.7,11,78.9,13.9,7.2,37.5,46.7,12.2,31.9,15.4,16.7,1.9,9.8,16.2,8,56,10.6,44.82,23.12,2.03
E01000084,Barking and Dagenham 013D,9.74,63.32,22.1,19.3,26.7,11.8,80.4,13.5,6.1,42.2,43.5,12.8,31.3,16.9,14.9,1.5,9.5,17.4,8.5,58,9.8,47.23,20.66,3.06
