LSOA11CD,LSOA11NM,crime_sum
E01000256,Barnet 016A,110
E01000257,Barnet 017B,212
E01000258,Barnet 016B,237
E01000259,Barnet 025D,119
E01000260,Barnet 025E,231
E01000261,Barnet 017C,69
E01000262,Barnet 017D,136
E01000263,Barnet 016C,60
E01000264,Barnet 016D,262
E01000265,Barnet 011A,89
E01000266,Barnet 011B,47
E01000267,Barnet 005A,57
E01000268,Barnet 005B,164
E01000269,Barnet 005C,45
E01000270,Barnet 005D,54
E01000271,Barnet 008A,81
E01000272,Barnet 008B,59
E01000273,Barnet 008C,104
E01000274,Barnet 011C,109
E01000275,Barnet 012A,50
E01000276,Barnet 020A,36
E01000277,Barnet 012B,63
E01000278,Barnet 020B,34
E01000279,Barnet 007C,83
E01000280,Barnet 007D,34
E01000281,Barnet 008D,183
E01000282,Barnet 008E,82
E01000283,Barnet 012C,40
E01000284,Barnet 012D,108
E01000285,Barnet 004A,69
E01000286,Barnet 007E,187
E01000287,Barnet 004B,77
E01000288,Barnet 004C,80
E01000289,Barnet 004D,123
E01000290,Barnet 007F,82
E01000291,Barnet 004E,95
E01000292,Barnet 001E,107
E01000293,Barnet 001F,114
E01000294,Barnet 004F,77
E01000295,Barnet 023B,74
E01000296,Barnet 023C,197
E01000297,Barnet 027D,53
E01000298,Barnet 023D,154
E01000299,Barnet 019A,277
E01000300,Barnet 019B,73
E01000301,Barnet 020C,64
E01000302,Barnet 019C,130
E01000303,Barnet 020D,36
E01000304,Barnet 020E,60
E01000305,Barnet 036B,201
E01000306,Barnet 036C,42
E01000307,Barnet 039D,986
E01000308,Barnet 036D,107
E01000309,Barnet 031D,92
E01000310,Barnet 034C,212
E01000311,Barnet 034D,87
E01000312,Barnet 036E,93
E01000313,Barnet 036F,107
E01000314,Barnet 032F,189
E01000315,Barnet 022F,154
E01000316,Barnet 027E,326
E01000317,Barnet 019D,76
E01000318,Barnet 019E,89
E01000319,Barnet 027F,54
E01000320,Barnet 011D,86
E01000321,Barnet 012E,141
E01000322,Barnet 011E,120
E01000323,Barnet 019F,391
E01000324,Barnet 015F,83
E01000325,Bexley 014A,54
E01000326,Bexley 014B,50
E01000327,Bexley 017A,52
E01000328,Bexley 017B,113
E01000329,Bexley 017C,98
E01000330,Bexley 017D,101
E01000331,Bexley 017E,105
E01000332,Bexley 005A,70
E01000333,Bexley 003A,142
E01000334,Bexley 006A,70
E01000335,Bexley 003B,292
E01000336,Bexley 003C,171
E01000337,Bexley 003D,89
E01000338,Bexley 003E,102
E01000339,Bexley 025A,50
E01000340,Bexley 018A,54
E01000341,Bexley 022A,44
E01000342,Bexley 022B,56
E01000343,Bexley 022C,64
E01000344,Bexley 025B,64
E01000345,Bexley 022D,34
E01000346,Bexley 021A,59
E01000347,Bexley 021B,50
E01000348,Bexley 020A,40
E01000349,Bexley 020B,50
E01000350,Bexley 021C,79
E01000351,Bexley 024A,64
E01000352,Bexley 021D,145
E01000353,Bexley 011A,37
E01000354,Bexley 011B,69
E01000355,Bexley 011C,40
E01000356,Bexley 009A,93
E01000357,Bexley 009B,29
E01000358,Bexley 011D,68
E01000359,Bexley 009C,58
E01000360,Bexley 015A,508
E01000361,Bexley 020C,44
E01000362,Bexley 015B,533
E01000363,Bexley 020D,56
E01000364,Bexley 023A,68
E01000365,Bexley 015C,78
E01000366,Bexley 015D,60
E01000367,Bexley 010A,118
E01000368,Bexley 010B,89
E01000369,Bexley 014C,69
E01000370,Bexley 014D,80
E01000371,Bexley 014E,40
E01000372,Bexley 010C,91
E01000373,Bexley 008A,83
E01000374,Bexley 019A,123
E01000375,Bexley 019B,110
E01000376,Bexley 019C,104
E01000377,Bexley 019D,64
E01000378,Bexley 019E,479
E01000379,Bexley 019F,73
E01000380,Bexley 010D,85
