FID,LSOA11CD,LSOA11NM,area,Census_Population_All_Ages,Population_Density,house_price,Unemployment_Rate,qualification4,Mean_Household_Income,sumarea,agvarea,count,Greenlandr,greratepre,Arson_and_Criminal_Damage,Burglary,Drug_Offences,Miscellaneous_Crimes_Against_Society,Possession_of_Weapons,Public_Order_Offences,Robbery,Theft,Vehicle_Offences,Violence_Against_the_Person,总计,分组
54,E01000058,Barking and Dagenham 018D,182167.3527,1849,18.22,168000,8.9,292,34157.03,0,0,0,0,0,13,15,3,2,2,9,4,10,17,46,121,1
55,E01000059,Barking and Dagenham 013C,209342.5659,1582,20.83,150997.5,10.01,192,32946.95,50080.6676,50080.6676,1,0.239228307,31.65655348,8,18,2,0,0,3,8,5,26,41,111,1
56,E01000060,Barking and Dagenham 006B,550401.3566,1809,54.99,158000,12.03,245,32336.8,223672.8254,55918.20635,4,0.406381312,123.6444585,19,15,5,0,1,17,15,89,23,66,250,1
57,E01000061,Barking and Dagenham 006C,605528.2146,1776,61.05,116500,18.63,204,24440.46,276956.0701,138478.035,2,0.457379299,155.9437332,12,15,21,2,3,9,6,12,20,87,187,1
58,E01000062,Barking and Dagenham 006D,225914.9089,1952,22.13,163000,12.33,282,34748.09,5604.3728,5604.3728,1,0.02480745,2.871092623,4,9,5,0,3,2,9,17,15,56,120,1
59,E01000063,Barking and Dagenham 004A,182521.5497,1620,18.12,163500,11.62,177,32681.45,0,0,0,0,0,6,5,2,0,1,9,6,6,17,28,80,1
60,E01000064,Barking and Dagenham 006E,209303.1822,1893,20.88,142500,9.94,256,32736.24,0,0,0,0,0,7,17,4,3,0,6,2,20,10,64,133,1
61,E01000065,Barking and Dagenham 007A,231233.9719,1736,23.36,158750,11.38,232,31645.16,0,0,0,0,0,8,14,2,3,0,10,6,11,12,42,108,1
62,E01000066,Barking and Dagenham 011A,245841.1996,1928,24.49,259747.5,7.41,317,43556.54,1513.8894,1513.8894,1,0.006157997,0.785212344,9,17,11,5,3,4,4,17,36,31,137,1
63,E01000067,Barking and Dagenham 011B,192149.6525,1969,19.25,250000,8.73,358,47083.59,0,0,0,0,0,5,20,3,0,1,5,0,8,38,24,104,1
64,E01000068,Barking and Dagenham 016E,341692.3984,1590,33.97,260000,6,333,50176.11,151463.3931,151463.3931,1,0.443274108,95.25999566,6,12,4,5,3,4,4,13,25,29,105,1
65,E01000069,Barking and Dagenham 011C,195356.3953,1763,20.05,298000,4.29,321,55729.18,0,0,0,0,0,9,18,4,0,1,1,1,5,20,22,81,1
66,E01000070,Barking and Dagenham 011D,395818.0109,1975,39.18,250000,8.04,401,52181.46,120285.8737,120285.8737,1,0.303891865,60.90423985,10,26,32,2,5,9,30,34,31,53,232,1
67,E01000071,Barking and Dagenham 011E,270621.6323,2253,27.06,249995,7.96,484,46041.24,0,0,0,0,0,8,28,3,1,0,4,7,23,33,39,146,1
68,E01000072,Barking and Dagenham 017E,522560.1232,1991,52.02,172750,11.92,235,29630.65,331524.764,165762.382,2,0.634424154,166.5116846,20,19,15,6,4,8,19,30,31,67,219,1
69,E01000073,Barking and Dagenham 012B,282928.5983,1619,28.46,155000,10.19,202,33156.58,118032.1627,59016.08135,2,0.417180036,72.90436238,10,13,2,1,0,5,2,11,25,33,102,1
70,E01000074,Barking and Dagenham 012C,164571.2559,1567,16.42,152000,9.39,188,32664.59,0,0,0,0,0,5,6,1,0,0,3,1,6,17,23,62,1
71,E01000075,Barking and Dagenham 012D,516159.8303,1732,51.74,181500,9.23,200,34042.56,258317.2841,129158.6421,2,0.500459875,149.1439285,16,23,9,4,0,12,20,25,24,48,181,1
72,E01000076,Barking and Dagenham 012E,189981.0506,1988,19.07,151000,10.98,222,31347.65,0,0,0,0,0,10,13,2,3,2,3,0,11,15,31,90,1
73,E01000077,Barking and Dagenham 008F,174019.238,1445,17.38,167250,11.83,172,31502.62,0,0,0,0,0,13,10,3,0,1,8,3,9,14,61,122,1
74,E01000078,Barking and Dagenham 007B,171760.2998,1666,17.58,155747.5,12.05,190,30616.26,0,0,0,0,0,17,9,0,2,3,5,5,11,11,48,111,1
75,E01000079,Barking and Dagenham 009E,309908.9005,1546,30.96,146000,10.63,204,32164.99,111704.0301,111704.0301,1,0.360441504,72.25357704,7,6,2,1,2,2,5,2,20,26,73,1
76,E01000080,Barking and Dagenham 007C,232963.0442,1556,23.13,158750,13.31,183,31995.17,51629.4164,51629.4164,1,0.221620629,33.18085887,6,10,8,1,1,3,10,3,12,59,113,1
77,E01000081,Barking and Dagenham 007D,186342.0728,1688,18.58,169000,8.76,193,33174.33,0,0,0,0,0,5,19,1,4,1,5,1,4,18,47,105,1
78,E01000082,Barking and Dagenham 007E,163350.6507,1683,16.07,155000,10.54,187,33237.05,1682.7181,1682.7181,1,0.010301264,0.999832501,19,9,0,4,0,6,9,26,22,40,135,1
79,E01000083,Barking and Dagenham 007F,179268.0081,1700,17.99,169000,10.63,201,32007.94,0,0,0,0,0,6,10,8,2,3,2,9,13,9,44,106,1
80,E01000084,Barking and Dagenham 013D,152481.4081,1355,15,151000,9.84,172,32285.48,7719.116,7719.116,1,0.050623326,5.696764576,14,13,4,6,3,15,17,29,25,67,193,1
81,E01000085,Barking and Dagenham 013E,144569.5018,1718,14.53,147750,13.96,198,30099.83,0,0,0,0,0,10,13,5,3,0,8,12,19,15,38,123,1
82,E01000086,Barking and Dagenham 013F,139092.3584,1431,14.01,160000,10.36,199,34128.16,15576.5213,15576.5213,1,0.111986895,10.88506031,5,11,3,1,1,3,3,7,17,30,81,1
83,E01000087,Barking and Dagenham 020B,375162.1878,1341,37.25,160000,9.91,174,32352.11,9061.8586,9061.8586,1,0.024154509,6.757538106,24,11,8,4,0,13,7,25,46,44,182,1
84,E01000088,Barking and Dagenham 020C,224351.3947,1828,22.64,159000,8.87,300,37771.29,28352.9923,9450.997433,3,0.126377607,15.51038966,7,11,10,2,3,7,7,16,9,63,135,1
85,E01000089,Barking and Dagenham 020D,150941.92,1666,14.55,150000,9.01,256,34417.01,19713.7213,1642.810108,12,0.130604681,11.83296597,16,9,3,2,0,3,3,8,18,49,111,1
86,E01000090,Barking and Dagenham 020E,1943486.364,1584,195.51,150000,8.98,260,36848.75,21605.2018,3600.866967,6,0.011116724,13.6396476,8,10,4,0,2,9,3,59,12,28,135,1
87,E01000091,Barking and Dagenham 022A,247762.2835,1714,24.62,171250,13.32,206,27764.7,17291.322,8645.661,2,0.069789969,10.08828588,23,26,7,3,1,16,3,15,36,58,188,1
88,E01000092,Barking and Dagenham 019E,2643463.283,2674,264.48,175000,13.55,521,37556.27,60454.8,6045.48,10,0.022869544,22.60837696,25,44,15,7,3,22,16,76,110,135,453,1
89,E01000093,Barking and Dagenham 022B,292222.4577,1547,29.38,178500,13.77,212,28561.26,2764.6689,691.167225,4,0.009460837,1.78711629,12,23,7,3,2,7,6,14,29,81,184,1
90,E01000094,Barking and Dagenham 022C,600238.1006,1326,60.28,160000,9.9,346,39146.31,100361.1759,25090.29397,4,0.167202275,75.68716131,10,12,5,1,1,2,3,15,25,44,118,1
91,E01000095,Barking and Dagenham 018E,2297360.77,1572,229.47,159750,10.12,297,41482.15,136865.5086,27373.10172,5,0.059575105,87.0645729,26,19,3,3,6,22,12,222,67,52,432,1
92,E01000096,Barking and Dagenham 022D,598650.07,1895,60.24,165000,15.42,245,27221.44,112075.3408,56037.6704,2,0.187213443,59.14266005,6,17,5,2,1,3,9,24,51,60,178,1
93,E01000097,Barking and Dagenham 023C,181421.6624,1683,17.92,196500,9.21,229,33007.91,0,0,0,0,0,2,10,3,3,2,6,8,10,14,48,106,1
94,E01000098,Barking and Dagenham 023D,173649.5172,1746,17.54,207000,13.57,221,32142.95,0,0,0,0,0,14,11,5,1,2,8,3,79,18,42,183,1
95,E01000099,Barking and Dagenham 023E,310307.819,1732,31,205000,11,233,35177.54,0,0,0,0,0,11,14,4,4,0,6,4,11,38,32,124,1
96,E01000100,Barking and Dagenham 004B,210605.432,1653,21.15,160500,12.72,196,32847.65,38438.5835,38438.5835,1,0.182514682,23.25383152,8,19,5,3,0,11,4,6,11,28,95,1
97,E01000101,Barking and Dagenham 004C,160998.4446,1513,16.39,159500,8.67,210,31902.33,0,0,0,0,0,15,19,3,0,2,4,7,26,15,32,123,1
98,E01000102,Barking and Dagenham 007G,254390.7655,1540,25.28,160000,11.28,215,33670.32,66848.9448,66848.9448,1,0.262780548,43.40840571,9,9,5,3,1,6,3,7,13,29,85,1
99,E01000103,Barking and Dagenham 014A,698238.3017,1685,70.13,167500,12.84,256,30851.68,486992.9508,40582.7459,12,0.69745952,289.016588,9,7,16,1,5,7,2,9,17,30,103,1
100,E01000104,Barking and Dagenham 014B,216169.1837,1781,22.02,134925,15.71,186,29854.35,24268.3029,2426.83029,10,0.112265321,13.62622285,9,12,6,2,0,10,7,28,22,66,162,1
101,E01000105,Barking and Dagenham 014C,223610.3663,2129,22.09,154500,15.34,276,29802.71,21942.3418,21942.3418,1,0.09812757,10.30640761,23,28,16,5,4,30,28,96,27,93,350,1
102,E01000106,Barking and Dagenham 014D,220851.7878,1968,21.94,105000,11.7,289,29731.55,18261.3423,6087.1141,3,0.082685961,9.279137348,19,25,14,2,2,6,9,21,39,76,213,1
103,E01000107,Barking and Dagenham 010C,539433.805,1666,53.6,175000,9.29,198,38576.82,268903.0057,44817.16762,6,0.498491202,161.406366,3,10,4,2,0,2,0,9,10,29,69,1
104,E01000108,Barking and Dagenham 010D,238529.2538,1558,24.21,190000,9.38,241,37288.98,46862.2056,46862.2056,1,0.196463138,30.07843748,9,15,4,4,0,15,7,17,20,61,152,1
105,E01000109,Barking and Dagenham 004D,375843.4254,1686,37.53,167500,9.98,241,39616.86,0,0,0,0,0,10,15,2,0,0,3,3,14,15,55,117,1
106,E01000110,Barking and Dagenham 002C,188381.6643,1416,19.45,212000,7.34,294,52663.79,18.673,18.673,1,9.91232E-05,0.013187147,4,12,2,2,0,3,1,2,18,30,74,1
107,E01000111,Barking and Dagenham 002D,301411.0633,1833,29.66,174000,10.28,280,34684.76,0,0,0,0,0,16,32,6,5,3,15,6,43,32,42,200,1
108,E01000112,Barking and Dagenham 002E,276279.589,1871,27.75,185000,9.03,362,40826.75,0,0,0,0,0,13,24,4,0,1,5,8,22,20,30,127,1
