FID,LSOA11CD,LSOA11NM,area,Census_Population_All_Ages,Population_Density,,house_price,Unemployment_Rate,qualification4,Mean_Household_Income,sumarea,agvarea,lnavgarea,count,greenratio,greenratio_sta,greratepre,Arson_and_Criminal_Damage,Burglary,Drug_Offences,Miscellaneous_Crimes_Against_Society,Possession_of_Weapons,Public_Order_Offences,Robbery,Theft,Vehicle_Offences,Vehicle_rate,vechicle_sta,Violence_Against_the_Person,总计,sumrate,分组,14.0773702
136,E01000140,Barnet 041C,144272.336,1631,14.61,,413500,7.58,664,40012.62,2921.2364,2921.2364,7.97976223,1,2.024807028,-0.691683659,1.791070754,8,27,1,3,0,6,2,26,17,10.42305334,-0.377048716,43,133,81.54506438,1,
137,E01000141,Barnet 039A,369540.8818,2104,37.05,,235000,8.14,631,32813.9,7113.9707,3556.98535,8.176668653,2,1.925083543,-0.698131395,3.381164781,35,46,13,5,5,52,24,161,105,49.90494297,3.696652706,120,566,269.0114068,1,
144,E01000148,Barnet 030B,229704.6052,1873,23.41,,213250,8.98,451,29531.74,3508.5674,1754.2837,7.469815904,2,1.527425798,-0.723842411,1.873234063,21,19,13,4,1,21,7,46,25,13.34757074,-0.075299969,83,240,128.1366791,1,
145,E01000150,Barnet 036A,463712.3311,2060,46.47,,224000,7.05,547,36188.3,25139.2743,25139.2743,10.13218662,1,5.421308129,-0.472078998,12.20353121,6,23,4,0,0,1,3,51,40,19.41747573,0.550986685,27,155,75.24271845,1,
147,E01000152,Barnet 026C,180545.0123,1729,18.49,,174500,12.15,260,26720.17,10083.8467,5041.92335,8.525542905,2,5.585225851,-0.46148071,5.832184326,8,17,7,3,4,7,3,13,36,20.82128398,0.6958302,39,137,79.23655292,1,
148,E01000153,Barnet 026D,165884.9489,1541,16.5,,228750,10.46,263,27696.79,40170.9021,13390.3007,9.502285895,3,24.21612229,0.743121193,26.06807404,16,18,9,0,1,7,1,10,37,24.01038287,1.024878197,51,150,97.33939001,1,
150,E01000155,Barnet 030D,296131.31,1880,29.05,,209000,6.64,562,33295.05,4938.2595,2469.12975,7.81162104,2,1.667591144,-0.71477986,2.626733777,29,22,15,3,2,19,8,54,48,25.53191489,1.181868332,93,293,155.8510638,1,
153,E01000158,Barnet 015A,270064.1282,1470,27.04,,258250,7.13,452,40171.23,52077.3132,52077.3132,10.86048469,1,19.28331376,0.42418482,35.42674367,12,14,3,1,1,10,9,10,23,15.6462585,0.161876308,39,122,82.99319728,1,
154,E01000159,Barnet 015B,496498.9491,1777,49.34,,495000,7.86,533,42276.72,123358.503,61679.2515,11.02970287,2,24.84567253,0.783825483,69.41952898,8,13,5,1,0,3,5,10,31,17.44513225,0.34748228,22,98,55.14912774,1,
157,E01000162,Barnet 015E,183539.7372,1599,18.23,,378000,7.76,409,39405.95,440.7391,440.7391,6.08845309,1,0.240132795,-0.807073811,0.275634209,16,23,3,2,2,10,10,25,28,17.51094434,0.354272706,42,161,100.68793,1,
158,E01000163,Barnet 022C,196855.6315,1558,19.14,,171000,11.51,388,32192.18,12753.2189,12753.2189,9.453538981,1,6.478462821,-0.403727453,8.185634724,9,10,2,4,0,4,0,11,24,15.40436457,0.136917937,27,91,58.40821566,1,
159,E01000164,Barnet 022D,550812.4748,1686,54.7,,261500,8.55,438,34318.43,153366.4959,51122.1653,10.84197345,3,27.84368599,0.97766547,90.96470694,10,5,8,7,3,12,3,176,54,32.02846975,1.852176288,40,318,188.6120996,1,
160,E01000165,Barnet 022E,188847.9026,1862,18.52,,369000,6.12,608,44154.94,1942.3487,971.17435,6.878506009,2,1.028525429,-0.756099384,1.043151826,8,11,4,0,0,5,1,5,41,22.01933405,0.819443794,32,107,57.4650913,1,
161,E01000166,Barnet 003A,374743.6474,1582,36.97,,326000,6.22,462,41934.37,115973.076,38657.692,10.56250105,3,30.9473094,1.178333789,73.30788622,6,19,3,1,1,1,0,4,18,11.37800253,-0.278518025,21,74,46.77623262,1,
162,E01000167,Barnet 002A,599590.9463,1307,60.19,,225000,7.77,265,34465.75,241147.5785,80382.52617,11.2945521,3,40.21868242,1.777785008,184.5046507,12,7,4,2,0,8,0,7,21,16.06732976,0.205322014,25,86,65.79954093,1,
164,E01000169,Barnet 003C,237445.1937,1490,23.85,,275000,4.68,499,45002.06,3855.2279,3855.2279,8.257185402,1,1.623628527,-0.717622313,2.587401275,6,10,1,0,0,2,0,5,32,21.47651007,0.763435765,20,76,51.00671141,1,
