LSOA11CD,LSOA11NM,Census_Population_All_Ages,Theft,theft_rate
E01001259,Ealing 014B,1457,14,9.60878518
E01001260,Ealing 012B,1899,4,2.10637177
E01001261,Ealing 012C,2178,126,57.8512397
E01001262,Ealing 010C,1592,10,6.28140704
E01001263,Ealing 010D,1672,10,5.98086124
E01001264,Ealing 010E,1655,6,3.62537764
E01001265,Ealing 006A,1692,21,12.4113475
E01001266,Ealing 006B,1832,93,50.7641921
E01001267,Ealing 006C,1953,88,45.0588838
E01001268,Ealing 012D,1736,10,5.76036866
E01001269,Ealing 001A,1983,34,17.1457388
E01001270,Ealing 004A,1721,6,3.48634515
E01001271,Ealing 001B,1804,9,4.98891353
E01001272,Ealing 006D,1628,45,27.6412776
E01001273,Ealing 020F,1623,28,17.2520025
E01001274,Ealing 020G,1630,10,6.13496933
E01001275,Ealing 020H,1901,10,5.26038927
E01001276,Ealing 011A,1788,16,8.94854586
E01001277,Ealing 011B,1844,33,17.8958785
E01001278,Ealing 011C,1962,31,15.8002039
E01001279,Ealing 013C,1473,6,4.07331976
E01001280,Ealing 011D,1740,11,6.32183908
E01001281,Ealing 013D,1600,4,2.5
E01001282,Ealing 016B,1557,4,2.56904303
E01001283,Ealing 016C,1595,17,10.6583072
E01001284,Ealing 022A,1539,4,2.59909032
E01001285,Ealing 016D,1690,22,13.0177515
E01001286,Ealing 016E,1674,6,3.58422939
E01001287,Ealing 016F,1437,4,2.7835769
E01001288,Ealing 022B,1498,11,7.34312417
E01001289,Ealing 022C,1383,4,2.8922632
E01001290,Ealing 022D,1856,22,11.8534483
E01001291,Ealing 014C,1642,3,1.82704019
E01001292,Ealing 014D,1708,3,1.75644028
E01001293,Ealing 014E,1598,6,3.75469337
E01001294,Ealing 017A,1894,6,3.16789863
E01001295,Ealing 017B,1826,4,2.1905805
E01001296,Ealing 017C,1481,3,2.02565834
E01001297,Ealing 017D,1814,10,5.51267916
E01001298,Ealing 017E,1934,5,2.58531541
E01001299,Ealing 035B,1833,23,12.547736
E01001300,Ealing 039A,1692,11,6.50118203
E01001301,Ealing 039B,1782,26,14.5903479
E01001302,Ealing 039C,1621,14,8.63664405
E01001303,Ealing 032A,1639,44,26.8456376
E01001304,Ealing 039D,1627,4,2.4585126
E01001305,Ealing 035C,1716,5,2.91375291
E01001306,Ealing 035D,1607,11,6.84505289
E01001307,Ealing 002A,1833,16,8.72885979
E01001308,Ealing 002B,2042,8,3.91772772
E01001309,Ealing 001C,1830,7,3.82513661
E01001310,Ealing 001D,1801,75,41.6435314
E01001311,Ealing 001E,2082,11,5.28338136
E01001312,Ealing 002C,1839,51,27.7324633
E01001313,Ealing 002D,1701,5,2.93944738
E01001314,Ealing 002E,1585,6,3.78548896
E01001315,Ealing 003A,1461,5,3.42231348
E01001316,Ealing 003B,1583,11,6.94883133
E01001317,Ealing 003C,1862,10,5.37056928
E01001318,Ealing 003D,1790,31,17.3184358
E01001319,Ealing 004B,1498,4,2.67022697
E01001320,Ealing 003E,1548,8,5.16795866
E01001321,Ealing 003F,2021,7,3.46363187
E01001322,Ealing 004C,1692,49,28.9598109
E01001323,Ealing 004D,1728,52,30.0925926
E01001324,Ealing 008B,1553,13,8.37089504
E01001325,Ealing 009A,1758,8,4.55062571
E01001326,Ealing 008C,1719,26,15.1250727
E01001327,Ealing 009B,1803,102,56.5723794
E01001328,Ealing 009C,1730,60,34.6820809
E01001329,Ealing 009D,1783,6,3.36511497
E01001330,Ealing 008D,1598,9,5.63204005
E01001331,Ealing 009E,1674,8,4.77897252
E01001332,Ealing 008E,1503,4,2.66134398
E01001333,Ealing 038A,1903,23,12.0861797
E01001334,Ealing 029C,1623,15,9.24214418
E01001335,Ealing 038B,1781,7,3.93037619
E01001336,Ealing 038C,1572,12,7.63358779
E01001337,Ealing 029D,1470,42,28.5714286
E01001338,Ealing 029E,1953,25,12.8008193
E01001339,Ealing 029F,1841,23,12.4932102
E01001340,Ealing 029G,1889,15,7.94070937
E01001341,Ealing 005A,1712,7,4.08878505
E01001342,Ealing 005B,1867,13,6.96304231
E01001343,Ealing 005C,1504,7,4.65425532
E01001344,Ealing 007A,2161,17,7.86672837
E01001345,Ealing 005D,1680,8,4.76190476
E01001346,Ealing 007B,1878,3,1.59744409
E01001347,Ealing 007C,1534,87,56.714472
E01001348,Ealing 007D,1599,124,77.5484678
E01001349,Ealing 006E,1404,9,6.41025641
E01001350,Ealing 027C,1486,8,5.38358008
E01001351,Ealing 025E,1994,81,40.6218656
E01001352,Ealing 027D,1510,33,21.8543046
E01001353,Ealing 033A,1667,16,9.59808038
E01001354,Ealing 027E,1840,204,110.869565
E01001355,Ealing 033B,1664,49,29.4471154
E01001356,Ealing 033C,1969,9,4.57084815
E01001357,Ealing 033D,1141,11,9.64066608
E01001358,Ealing 033E,1602,33,20.5992509
E01001359,Ealing 026A,2201,50,22.7169468
E01001360,Ealing 026B,1923,11,5.72022881
E01001361,Ealing 023E,1802,264,146.503885
E01001362,Ealing 026C,1935,37,19.121447
E01001363,Ealing 026D,1685,11,6.52818991
E01001364,Ealing 026E,1676,17,10.1431981
E01001365,Ealing 026F,2217,13,5.86377988
E01001366,Ealing 037A,1923,7,3.64014561
E01001367,Ealing 037B,1764,66,37.414966
E01001368,Ealing 037C,1723,5,2.90191526
E01001369,Ealing 038D,1846,22,11.9176598
E01001370,Ealing 037D,1980,20,10.1010101
E01001371,Ealing 037E,2081,15,7.20807304
E01001372,Ealing 037F,1763,10,5.67214974
E01001373,Ealing 037G,1499,6,4.00266845
E01001374,Ealing 040A,1798,7,3.89321468
E01001375,Ealing 034A,1665,13,7.80780781
E01001376,Ealing 040B,1579,8,5.06649778
E01001377,Ealing 034B,1770,9,5.08474576
E01001379,Ealing 034C,1679,11,6.55151876
E01001380,Ealing 040C,1759,21,11.9386015
E01001381,Ealing 034D,1649,64,38.8114008
E01001382,Ealing 032B,1566,8,5.10855683
E01001383,Ealing 028D,1791,5,2.79173646
E01001384,Ealing 032C,1645,19,11.550152
E01001385,Ealing 032D,1682,20,11.8906064
E01001386,Ealing 031F,1793,16,8.92359175
E01001387,Ealing 032E,1546,31,20.0517464
E01001388,Ealing 028E,1640,25,15.2439024
E01001389,Ealing 028F,1667,117,70.1859628
E01001390,Enfield 036A,1971,14,7.1029934
E01001391,Enfield 036B,1564,11,7.03324808
E01001392,Enfield 032A,1824,3,1.64473684
E01001393,Enfield 036C,2112,12,5.68181818
E01001394,Enfield 035A,1653,19,11.4942529
E01001395,Enfield 035B,1590,6,3.77358491
E01001396,Enfield 036D,1413,19,13.4465676
E01001397,Enfield 035C,1924,8,4.15800416
E01001398,Enfield 021A,1392,5,3.59195402
E01001399,Enfield 021B,1437,6,4.17536534
E01001400,Enfield 021C,1543,3,1.94426442
E01001401,Enfield 016A,1323,1,0.7558579
E01001402,Enfield 021D,1833,13,7.09219858
E01001403,Enfield 021E,1602,8,4.9937578
E01001404,Enfield 026A,1473,5,3.39443313
E01001405,Enfield 015A,1691,10,5.91366056
E01001406,Enfield 015B,1629,97,59.5457336
E01001407,Enfield 005A,1637,19,11.6065974
E01001408,Enfield 004A,1646,6,3.64520049
E01001409,Enfield 005B,1889,4,2.1175225
E01001410,Enfield 005C,1721,8,4.6484602
E01001411,Enfield 004B,1840,37,20.1086957
E01001412,Enfield 004C,1834,41,22.3555071
E01001413,Enfield 004D,1632,2,1.2254902
E01001414,Enfield 004E,1563,7,4.47856686
E01001415,Enfield 011A,1541,117,75.9247242
E01001416,Enfield 013A,1733,3,1.73110214
E01001417,Enfield 011B,1974,24,12.1580547
E01001418,Enfield 011C,1650,9,5.45454545
E01001419,Enfield 020A,1946,31,15.9301131
E01001420,Enfield 020B,1570,6,3.82165605
E01001421,Enfield 020C,1716,6,3.4965035
E01001422,Enfield 011D,1658,6,3.61881785
E01001423,Enfield 027A,1805,12,6.64819945
E01001424,Enfield 030A,1210,5,4.1322314
E01001425,Enfield 027B,1862,46,24.7046187
E01001426,Enfield 030B,1821,21,11.5321252
E01001427,Enfield 030C,1840,35,19.0217391
E01001428,Enfield 027C,1677,19,11.3297555
E01001429,Enfield 030D,2394,372,155.388471
E01001430,Enfield 030E,1884,6,3.18471338
E01001431,Enfield 033A,1549,12,7.74693351
E01001432,Enfield 033B,1907,32,16.7802832
E01001433,Enfield 007A,1827,34,18.6097427
E01001434,Enfield 007B,1572,10,6.36132316
E01001435,Enfield 007C,1480,5,3.37837838
E01001436,Enfield 007D,1886,15,7.9533404
E01001437,Enfield 014A,2373,65,27.3914876
E01001438,Enfield 007E,1659,15,9.04159132
E01001439,Enfield 006A,2075,79,38.0722892
E01001440,Enfield 012A,1641,12,7.31261426
E01001441,Enfield 006B,1514,36,23.7780713
E01001442,Enfield 002A,1684,18,10.6888361
E01001444,Enfield 001A,1676,13,7.75656325
E01001445,Enfield 003B,2284,35,15.323993
E01001446,Enfield 001B,1817,10,5.50357733
E01001447,Enfield 003C,1936,14,7.23140496
E01001448,Enfield 003D,1831,12,6.55379574
E01001449,Enfield 003E,1635,4,2.44648318
E01001450,Enfield 015C,1878,261,138.977636
E01001451,Enfield 017A,1641,64,39.0006094
E01001452,Enfield 017B,1356,6,4.42477876
E01001453,Enfield 017C,1677,3,1.78890877
E01001454,Enfield 017D,1633,6,3.67421923
E01001455,Enfield 021F,1491,4,2.68276325
E01001456,Enfield 022A,1400,9,6.42857143
E01001457,Enfield 010A,1633,21,12.8597673
E01001458,Enfield 037A,1745,13,7.44985673
E01001459,Enfield 024A,1675,3,1.79104478
E01001460,Enfield 024B,1711,16,9.35125658
E01001461,Enfield 027D,1716,30,17.4825175
E01001462,Enfield 024C,1339,15,11.2023898
E01001463,Enfield 031A,1573,6,3.81436745
E01001464,Enfield 027E,1330,7,5.26315789
E01001465,Enfield 031B,1505,7,4.65116279
E01001466,Enfield 031C,1795,12,6.68523677
E01001467,Enfield 031D,1874,9,4.80256137
E01001468,Enfield 010B,1339,16,11.9492158
E01001469,Enfield 008A,1645,1,0.60790274
E01001470,Enfield 013B,1598,5,3.12891114
E01001471,Enfield 010C,1737,40,23.0282096
E01001472,Enfield 010D,1682,13,7.72889417
E01001473,Enfield 013C,1534,16,10.4302477
E01001474,Enfield 010E,1767,4,2.26372383
E01001475,Enfield 013D,1704,1,0.58685446
E01001476,Enfield 018A,1666,9,5.40216086
E01001477,Enfield 018B,1850,12,6.48648649
E01001478,Enfield 016B,1538,4,2.60078023
E01001479,Enfield 023A,1730,45,26.0115607
E01001480,Enfield 024D,1549,7,4.51904454
E01001481,Enfield 018C,1647,6,3.64298725
E01001482,Enfield 023B,1854,8,4.31499461
E01001483,Enfield 025A,1150,20,17.3913043
E01001484,Enfield 016C,1371,15,10.940919
E01001485,Enfield 025B,1815,19,10.4683196
E01001486,Enfield 025C,2106,13,6.17283951
E01001487,Enfield 023C,1949,12,6.15700359
E01001488,Enfield 024E,1883,8,4.24853956
E01001489,Enfield 023D,1803,13,7.21020521
E01001491,Enfield 023E,1976,18,9.10931174
E01001492,Enfield 025E,1930,12,6.21761658
E01001493,Enfield 026B,1773,8,4.51212634
E01001494,Enfield 026C,1520,3,1.97368421
E01001495,Enfield 029A,1715,5,2.9154519
E01001496,Enfield 026D,1705,11,6.4516129
E01001497,Enfield 031E,1476,4,2.7100271
E01001498,Enfield 029B,1946,79,40.5960946
E01001499,Enfield 031F,1650,7,4.24242424
E01001500,Enfield 035D,1527,27,17.6817289
E01001501,Enfield 036E,1850,56,30.2702703
E01001502,Enfield 018D,1872,60,32.0512821
E01001503,Enfield 018E,1844,20,10.845987
E01001504,Enfield 012B,1549,5,3.22788896
E01001505,Enfield 012C,1727,6,3.47423277
E01001506,Enfield 014B,1635,117,71.559633
E01001507,Enfield 012D,1870,173,92.513369
E01001508,Enfield 012E,1933,10,5.17330574
E01001509,Enfield 014C,1738,9,5.17836594
E01001510,Enfield 014D,1496,11,7.35294118
E01001511,Enfield 016D,1751,112,63.9634495
E01001512,Enfield 015D,1780,50,28.0898876
E01001513,Enfield 012F,1770,274,154.80226
E01001514,Enfield 016E,1768,8,4.52488688
E01001515,Enfield 015E,1946,12,6.16649538
E01001516,Enfield 005D,1834,32,17.4482007
E01001517,Enfield 006C,1890,13,6.87830688
E01001518,Enfield 016F,1767,31,17.5438596
E01001519,Enfield 020D,2496,226,90.5448718
E01001520,Enfield 019A,1680,14,8.33333333
E01001521,Enfield 028A,1777,4,2.25098481
E01001522,Enfield 019B,1805,21,11.634349
E01001523,Enfield 019C,1739,5,2.87521564
E01001524,Enfield 019D,1531,5,3.26583932
E01001525,Enfield 020E,1807,8,4.42722745
E01001526,Enfield 019E,1619,1,0.61766523
E01001527,Enfield 036F,1563,15,9.59692898
E01001528,Enfield 032B,1445,22,15.2249135
E01001529,Enfield 032C,1546,17,10.996119
E01001530,Enfield 032D,1290,9,6.97674419
E01001531,Enfield 028B,1498,3,2.00267023
E01001532,Enfield 028C,1764,16,9.07029478
E01001533,Enfield 028D,1568,2,1.2755102
E01001534,Enfield 032E,1631,47,28.8166769
E01001535,Enfield 028E,1482,9,6.07287449
E01001536,Enfield 008B,1717,87,50.6697729
E01001537,Enfield 005E,1754,4,2.28050171
E01001538,Enfield 009A,1660,6,3.61445783
E01001539,Enfield 009B,1668,4,2.39808153
E01001540,Enfield 008C,1763,21,11.9115145
E01001541,Enfield 008D,1504,6,3.9893617
E01001542,Enfield 008E,1571,30,19.0961171
E01001543,Enfield 009C,1672,6,3.58851675
E01001544,Enfield 009D,1597,14,8.76643707
E01001545,Enfield 002B,1843,9,4.88334238
E01001546,Enfield 001C,1783,11,6.16937745
E01001547,Enfield 002C,1758,38,21.6154721
E01001548,Enfield 002D,1819,17,9.34579439
E01001549,Enfield 006D,1975,30,15.1898734
E01001550,Enfield 006E,1661,6,3.61228176
E01001551,Enfield 002E,1733,67,38.661281
E01001552,Enfield 001D,1805,16,8.86426593
E01001553,Enfield 037B,1597,8,5.00939261
E01001554,Enfield 037C,1791,42,23.4505863
E01001555,Enfield 033C,1783,64,35.8945597
E01001556,Enfield 035E,1579,6,3.79987334
E01001557,Enfield 033D,1586,12,7.56620429
E01001558,Enfield 033E,1613,174,107.873528
E01001559,Enfield 033F,2051,343,167.235495
E01001560,Enfield 035F,1599,12,7.50469043
E01001562,Enfield 037D,1716,11,6.41025641
E01001563,Enfield 029C,1615,8,4.95356037
E01001564,Enfield 022B,1666,8,4.80192077
E01001565,Enfield 029D,1636,4,2.44498778
E01001566,Enfield 029E,1721,6,3.48634515
E01001567,Enfield 022C,1583,3,1.89513582
E01001568,Enfield 022D,1583,4,2.52684776
E01001569,Enfield 022E,1744,18,10.3211009
E01001570,Enfield 026E,1855,60,32.3450135
E01001571,Greenwich 008A,1639,21,12.8126907
E01001572,Greenwich 008B,1711,9,5.26008182
E01001573,Greenwich 008C,1505,10,6.64451827
E01001574,Greenwich 008D,1769,13,7.34878462
E01001575,Greenwich 003A,1707,31,18.1605155
E01001576,Greenwich 003B,1739,14,8.0506038
E01001577,Greenwich 003C,1857,13,7.0005385
E01001578,Greenwich 003D,2131,57,26.7480056
E01001579,Greenwich 003E,1646,12,7.29040097
E01001580,Greenwich 021A,1642,92,56.0292326
E01001581,Greenwich 016A,1693,26,15.3573538
E01001582,Greenwich 021B,1475,23,15.5932203
E01001583,Greenwich 021C,1603,19,11.852776
E01001584,Greenwich 021D,1549,17,10.9748225
E01001585,Greenwich 016B,1532,9,5.87467363
E01001586,Greenwich 016C,1491,5,3.35345406
E01001587,Greenwich 016D,1890,17,8.99470899
E01001588,Greenwich 012A,1692,16,9.45626478
E01001589,Greenwich 012B,1604,36,22.4438903
E01001590,Greenwich 014A,1777,10,5.62746201
E01001591,Greenwich 012C,2040,21,10.2941176
E01001592,Greenwich 014B,1718,9,5.23864959
E01001593,Greenwich 014C,1638,7,4.27350427
E01001594,Greenwich 014D,1937,12,6.19514713
E01001595,Greenwich 012D,1979,15,7.57958565
E01001596,Greenwich 032A,1564,6,3.83631714
E01001597,Greenwich 031A,1560,15,9.61538462
E01001598,Greenwich 031B,1587,14,8.82167612
E01001599,Greenwich 032B,1701,25,14.6972369
E01001600,Greenwich 032C,1561,9,5.76553491
E01001601,Greenwich 032D,1561,8,5.12491992
E01001602,Greenwich 031C,1873,8,4.27122264
E01001603,Greenwich 031D,1655,15,9.06344411
E01001604,Greenwich 027A,1440,27,18.75
E01001605,Greenwich 023A,1584,3,1.89393939
E01001606,Greenwich 023B,1637,1,0.61087355
E01001607,Greenwich 027B,1474,35,23.7449118
E01001608,Greenwich 027C,1454,6,4.12654746
E01001609,Greenwich 027D,1602,155,96.7540574
E01001610,Greenwich 023C,1669,6,3.59496705
E01001611,Greenwich 023D,1659,5,3.01386377
E01001613,Greenwich 028A,1586,8,5.04413619
E01001614,Greenwich 028B,1409,63,44.7125621
E01001615,Greenwich 028C,1519,156,102.699144
E01001617,Greenwich 028D,1574,85,54.0025413
E01001618,Greenwich 030C,1604,8,4.98753117
E01001619,Greenwich 030D,1880,13,6.91489362
E01001620,Greenwich 025A,1591,25,15.7133878
E01001621,Greenwich 025B,1491,14,9.38967136
E01001623,Greenwich 025C,1696,9,5.30660377
E01001624,Greenwich 025D,1551,9,5.80270793
E01001625,Greenwich 025E,1577,10,6.34115409
E01001629,Greenwich 009A,2176,17,7.8125
E01001631,Greenwich 007B,2072,33,15.9266409
E01001632,Greenwich 007C,2319,10,4.31220354
E01001633,Greenwich 009B,1607,14,8.7118855
E01001634,Greenwich 009C,1714,6,3.50058343
E01001635,Greenwich 007D,1661,4,2.40818784
E01001636,Greenwich 007E,1722,8,4.64576074
E01001637,Greenwich 009D,1703,13,7.63358779
E01001638,Greenwich 038A,1974,14,7.09219858
E01001640,Greenwich 035A,2334,185,79.2630677
E01001641,Greenwich 038B,1755,228,129.91453
E01001642,Greenwich 038C,1781,36,20.2133633
E01001644,Greenwich 038D,2212,44,19.8915009
E01001645,Greenwich 022A,1697,8,4.71420153
E01001646,Greenwich 019A,2829,27,9.54400848
E01001647,Greenwich 022B,1491,6,4.02414487
E01001648,Greenwich 022C,1751,14,7.99543118
E01001649,Greenwich 022D,1530,11,7.18954248
E01001650,Greenwich 019B,1733,12,6.92440854
E01001651,Greenwich 019C,1714,17,9.91831972
E01001652,Greenwich 019D,1555,66,42.4437299
E01001653,Greenwich 029A,1547,3,1.93923723
E01001654,Greenwich 029B,1546,4,2.58732212
E01001655,Greenwich 029C,1465,18,12.2866894
E01001656,Greenwich 034A,1272,6,4.71698113
E01001657,Greenwich 034B,1547,10,6.46412411
E01001658,Greenwich 034C,1549,21,13.5571336
E01001659,Greenwich 034D,1454,19,13.0674003
E01001660,Greenwich 029D,1600,11,6.875
E01001661,Greenwich 029E,1525,17,11.147541
E01001662,Greenwich 037A,1608,69,42.9104478
E01001664,Greenwich 037B,1870,102,54.5454545
E01001665,Greenwich 037C,1867,37,19.8178897
E01001666,Greenwich 036A,1470,230,156.462585
E01001667,Greenwich 036B,1564,352,225.063939
E01001668,Greenwich 036C,2269,56,24.680476
E01001669,Greenwich 033A,1874,6,3.20170758
E01001671,Greenwich 033B,1578,3,1.90114068
E01001672,Greenwich 006A,2049,14,6.83260127
E01001673,Greenwich 006B,1892,58,30.6553911
E01001674,Greenwich 006C,1973,17,8.61632032
E01001675,Greenwich 006D,1980,58,29.2929293
E01001676,Greenwich 033C,1791,14,7.81686209
E01001677,Greenwich 006E,1948,19,9.75359343
E01001678,Greenwich 017A,1667,5,2.99940012
E01001679,Greenwich 020A,1346,8,5.9435364
E01001680,Greenwich 020B,1573,11,6.99300699
E01001681,Greenwich 020C,1224,6,4.90196078
E01001682,Greenwich 020D,1333,18,13.5033758
E01001683,Greenwich 017B,1519,32,21.0664911
E01001684,Greenwich 017C,1472,8,5.43478261
E01001685,Greenwich 017D,1522,2,1.31406045
E01001686,Greenwich 020E,1777,13,7.31570062
E01001687,Greenwich 002A,1206,10,8.29187396
E01001688,Greenwich 002B,2623,53,20.2058711
E01001690,Greenwich 001A,1932,15,7.76397516
E01001692,Greenwich 001B,1391,10,7.18907261
E01001693,Greenwich 001C,1558,10,6.41848524
E01001694,Greenwich 001D,1685,9,5.34124629
E01001695,Greenwich 011A,1626,7,4.30504305
E01001696,Greenwich 011B,1350,154,114.074074
E01001697,Greenwich 011C,2094,9,4.29799427
E01001698,Greenwich 015A,1777,14,7.87844682
E01001699,Greenwich 015B,1848,20,10.8225108
E01001700,Greenwich 011D,2019,34,16.8400198
E01001701,Greenwich 015C,1524,49,32.152231
E01001702,Greenwich 015D,1676,12,7.15990453
E01001703,Greenwich 011E,1934,14,7.23888314
E01001704,Greenwich 011F,1651,45,27.2562084
E01001705,Greenwich 005A,1993,42,21.0737582
E01001706,Greenwich 005B,1340,6,4.47761194
E01001708,Greenwich 005C,1595,6,3.76175549
E01001709,Greenwich 004B,1170,101,86.3247863
E01001710,Greenwich 005D,1694,12,7.08382527
E01001711,Greenwich 004C,1413,13,9.20028309
E01001712,Greenwich 004D,2137,20,9.35891437
E01001713,Greenwich 005E,1748,5,2.8604119
E01001714,Hackney 002A,1490,31,20.8053691
E01001715,Hackney 007A,1321,16,12.1120363
E01001716,Hackney 007B,1318,29,22.0030349
E01001717,Hackney 007C,1222,26,21.2765957
E01001718,Hackney 007D,1787,69,38.6121992
E01001719,Hackney 007E,1139,19,16.6812994
E01001720,Hackney 007F,1736,27,15.5529954
E01001722,Hackney 029A,2028,49,24.1617357
E01001723,Hackney 006A,1944,22,11.3168724
E01001724,Hackney 006B,2219,40,18.0261379
E01001725,Hackney 004A,1909,16,8.38135149
E01001726,Hackney 004B,1357,15,11.0537951
E01001727,Hackney 006C,1920,16,8.33333333
E01001728,Hackney 029B,2015,11,5.45905707
E01001729,Hackney 019A,2021,48,23.7506185
E01001730,Hackney 019B,1921,34,17.699115
E01001731,Hackney 017A,2300,168,73.0434783
E01001732,Hackney 019C,1715,40,23.3236152
E01001733,Hackney 015A,1822,39,21.4050494
E01001734,Hackney 017B,1821,110,60.4063701
E01001735,Hackney 019D,1632,99,60.6617647
E01001736,Hackney 012A,1656,19,11.47343
E01001737,Hackney 012B,1842,26,14.1150923
E01001738,Hackney 012C,1758,30,17.0648464
E01001739,Hackney 012D,2090,26,12.4401914
E01001740,Hackney 014A,1566,16,10.2171137
E01001741,Hackney 009A,1490,30,20.1342282
E01001742,Hackney 008A,1810,56,30.9392265
E01001744,Hackney 021B,1879,17,9.04736562
E01001745,Hackney 016A,2249,64,28.457092
E01001746,Hackney 016B,1656,12,7.24637681
E01001747,Hackney 014B,2137,112,52.4099204
E01001748,Hackney 020A,2306,244,105.810928
E01001749,Hackney 020B,1717,26,15.1426907
E01001750,Hackney 021C,1838,53,28.835691
E01001751,Hackney 021D,1547,39,25.210084
E01001752,Hackney 025A,2307,48,20.8062419
E01001753,Hackney 025B,1629,26,15.9607121
E01001754,Hackney 025C,2379,126,52.96343
E01001755,Hackney 025D,1788,84,46.9798658
E01001756,Hackney 021E,2155,70,32.4825986
E01001757,Hackney 016C,1717,10,5.82411182
E01001758,Hackney 016D,2087,58,27.7910877
E01001759,Hackney 016E,1804,26,14.4124169
E01001760,Hackney 017C,1754,356,202.964652
E01001761,Hackney 016F,1779,53,29.792018
E01001762,Hackney 017D,1765,161,91.2181303
E01001763,Hackney 020C,1642,35,21.3154689
E01001764,Hackney 010A,1688,10,5.92417062
E01001765,Hackney 010B,1717,13,7.57134537
E01001767,Hackney 010D,1603,20,12.4766064
E01001768,Hackney 006D,1825,17,9.31506849
E01001769,Hackney 006E,1594,9,5.64617315
E01001770,Hackney 010E,1738,33,18.9873418
E01001772,Hackney 024A,1046,31,29.6367113
E01001773,Hackney 025E,2052,108,52.6315789
E01001774,Hackney 024B,2095,105,50.1193317
E01001775,Hackney 024C,1776,35,19.7072072
E01001776,Hackney 025F,1439,46,31.9666435
E01001777,Hackney 027B,2358,152,64.461408
E01001779,Hackney 026A,2437,168,68.9372179
E01001780,Hackney 027D,1825,194,106.30137
E01001781,Hackney 026B,1667,25,14.9970006
E01001782,Hackney 026C,2300,31,13.4782609
E01001783,Hackney 026D,1897,16,8.43437006
E01001784,Hackney 027E,2273,40,17.5978883
E01001785,Hackney 015B,1486,14,9.42126514
E01001786,Hackney 013A,1825,30,16.4383562
E01001787,Hackney 013B,1589,13,8.18124607
E01001788,Hackney 013C,1582,14,8.84955752
E01001789,Hackney 015C,1739,12,6.90051754
E01001790,Hackney 013D,1343,16,11.9136262
E01001791,Hackney 015D,1534,11,7.17079531
E01001792,Hackney 011A,1780,28,15.7303371
E01001793,Hackney 011B,1685,15,8.90207715
E01001794,Hackney 011C,1909,49,25.6678889
E01001795,Hackney 011D,1464,37,25.273224
E01001796,Hackney 011E,1647,15,9.10746812
E01001798,Hackney 028A,1785,62,34.7338936
E01001799,Hackney 003A,1582,16,10.11378
E01001800,Hackney 004C,1597,79,49.467752
E01001801,Hackney 008B,1664,8,4.80769231
E01001802,Hackney 003B,1294,6,4.63678516
E01001803,Hackney 008C,1863,23,12.345679
E01001804,Hackney 003C,1528,11,7.19895288
E01001805,Hackney 009B,1206,21,17.4129353
E01001806,Hackney 008D,1546,43,27.8137128
E01001807,Hackney 003D,1806,19,10.5204873
E01001808,Hackney 001A,1838,66,35.9085963
E01001809,Hackney 001B,1977,18,9.1047041
E01001811,Hackney 002D,1503,16,10.6453759
E01001812,Hackney 003E,1746,13,7.44558992
E01001813,Hackney 002E,1250,44,35.2
E01001814,Hackney 001C,1660,59,35.5421687
E01001815,Hackney 024D,1774,28,15.78354
E01001816,Hackney 020D,1625,52,32
E01001819,Hackney 020E,1577,33,20.9258085
E01001820,Hackney 024E,1463,25,17.088175
E01001821,Hackney 024F,1460,40,27.3972603
E01001822,Hackney 029C,1785,46,25.7703081
E01001823,Hackney 001D,1765,18,10.1983003
E01001824,Hackney 004D,1517,19,12.5247198
E01001825,Hackney 001E,1598,13,8.13516896
E01001826,Hackney 004E,1740,14,8.04597701
E01001827,Hackney 029D,1916,18,9.39457203
E01001828,Hackney 028B,2057,26,12.6397667
E01001829,Hackney 009C,1794,42,23.4113712
E01001830,Hackney 014C,1904,55,28.8865546
E01001831,Hackney 009D,1677,133,79.3082886
E01001832,Hackney 009E,1619,31,19.147622
E01001833,Hackney 014D,2143,42,19.5986934
E01001834,Hackney 014E,2059,30,14.5701797
E01001835,Hackney 014F,1249,18,14.4115292
E01001836,Hackney 022A,1866,49,26.2593783
E01001837,Hackney 023B,1488,43,28.8978495
E01001838,Hackney 019E,1746,24,13.7457045
E01001839,Hackney 023C,2211,125,56.5355043
E01001840,Hackney 022B,1676,19,11.3365155
E01001841,Hackney 022C,1411,22,15.5917789
E01001842,Hackney 023D,1589,29,18.250472
E01001843,Hackney 023E,1244,13,10.4501608
E01001844,Hackney 022D,2006,52,25.9222333
E01001845,Hackney 022E,1555,36,23.1511254
E01001846,Hackney 018A,1216,33,27.1381579
E01001847,Hackney 018B,1129,21,18.6005314
E01001848,Hackney 018C,1654,24,14.5102781
E01001849,Hackney 018D,2364,63,26.6497462
E01001850,Hackney 019F,1810,9,4.97237569
E01001851,Hammersmith and Fulham 010A,1632,24,14.7058824
E01001852,Hammersmith and Fulham 007A,1792,37,20.6473214
E01001853,Hammersmith and Fulham 007B,1533,21,13.6986301
E01001854,Hammersmith and Fulham 007C,1732,24,13.8568129
E01001855,Hammersmith and Fulham 010B,1677,30,17.8890877
E01001856,Hammersmith and Fulham 010C,1675,118,70.4477612
E01001857,Hammersmith and Fulham 007D,1477,260,176.032498
E01001858,Hammersmith and Fulham 006A,1793,52,29.0016732
E01001859,Hammersmith and Fulham 008A,2541,9,3.54191263
E01001860,Hammersmith and Fulham 006B,1769,64,36.178632
