LSOA11CD,LSOA11NM,Census_Population_All_Ages,Theft,theft_rate
E01000072,Barking and Dagenham 017E,1991,30,15.0678051
E01000073,Barking and Dagenham 012B,1619,11,6.79431748
E01000074,Barking and Dagenham 012C,1567,6,3.82897256
E01000075,Barking and Dagenham 012D,1732,25,14.4341801
E01000076,Barking and Dagenham 012E,1988,11,5.5331992
E01000077,Barking and Dagenham 008F,1445,9,6.2283737
E01000078,Barking and Dagenham 007B,1666,11,6.60264106
E01000079,Barking and Dagenham 009E,1546,2,1.29366106
E01000080,Barking and Dagenham 007C,1556,3,1.92802057
E01000081,Barking and Dagenham 007D,1688,4,2.36966825
E01000082,Barking and Dagenham 007E,1683,26,15.4486037
E01000083,Barking and Dagenham 007F,1700,13,7.64705882
E01000084,Barking and Dagenham 013D,1355,29,21.402214
E01000085,Barking and Dagenham 013E,1718,19,11.0593714
E01000086,Barking and Dagenham 013F,1431,7,4.89168414
E01000087,Barking and Dagenham 020B,1341,25,18.6428039
E01000088,Barking and Dagenham 020C,1828,16,8.75273523
E01000089,Barking and Dagenham 020D,1666,8,4.80192077
E01000090,Barking and Dagenham 020E,1584,59,37.2474747
E01000091,Barking and Dagenham 022A,1714,15,8.75145858
E01000092,Barking and Dagenham 019E,2674,76,28.4218399
E01000093,Barking and Dagenham 022B,1547,14,9.04977376
E01000094,Barking and Dagenham 022C,1326,15,11.3122172
E01000095,Barking and Dagenham 018E,1572,222,141.221374
E01000096,Barking and Dagenham 022D,1895,24,12.6649077
E01000097,Barking and Dagenham 023C,1683,10,5.94177065
E01000098,Barking and Dagenham 023D,1746,79,45.2462772
E01000099,Barking and Dagenham 023E,1732,11,6.35103926
E01000100,Barking and Dagenham 004B,1653,6,3.62976407
E01000101,Barking and Dagenham 004C,1513,26,17.1844019
E01000102,Barking and Dagenham 007G,1540,7,4.54545455
E01000103,Barking and Dagenham 014A,1685,9,5.34124629
E01000104,Barking and Dagenham 014B,1781,28,15.7215048
E01000105,Barking and Dagenham 014C,2129,96,45.0915923
E01000106,Barking and Dagenham 014D,1968,21,10.6707317
E01000107,Barking and Dagenham 010C,1666,9,5.40216086
E01000108,Barking and Dagenham 010D,1558,17,10.9114249
E01000109,Barking and Dagenham 004D,1686,14,8.30367734
E01000110,Barking and Dagenham 002C,1416,2,1.41242938
E01000111,Barking and Dagenham 002D,1833,43,23.4588107
E01000112,Barking and Dagenham 002E,1871,22,11.758418
E01000113,Barking and Dagenham 002F,1679,37,22.0369267
E01000114,Barking and Dagenham 004E,2090,47,22.4880383
E01000115,Barnet 009A,1484,5,3.36927224
E01000116,Barnet 009B,1718,17,9.89522701
E01000117,Barnet 010A,1819,6,3.29851567
E01000118,Barnet 010B,1936,4,2.0661157
E01000119,Barnet 009C,1680,5,2.97619048
E01000120,Barnet 009D,1504,9,5.98404255
E01000121,Barnet 010C,1497,3,2.00400802
E01000122,Barnet 009E,1471,2,1.35961931
E01000123,Barnet 010D,1664,13,7.8125
E01000124,Barnet 010E,1621,168,103.639729
E01000125,Barnet 024A,2779,28,10.0755668
E01000126,Barnet 026A,2162,21,9.71322849
E01000127,Barnet 024B,1505,15,9.96677741
E01000128,Barnet 024C,1869,9,4.81540931
E01000129,Barnet 024D,1782,61,34.2312009
E01000130,Barnet 021A,1603,7,4.36681223
E01000131,Barnet 024E,1806,11,6.09080842
E01000132,Barnet 021B,1478,7,4.73612991
