LSOA11CD,LSOA11NM,sumarea,agvarea,count,Green_rate, Per_capita_green_area,Theft,Violence_Against_the_Person,sum
E01000107,Barking and Dagenham 010C,268903.0057,44817.16762,6,0.498491202,161.406366,9,29,69
E01000108,Barking and Dagenham 010D,46862.2056,46862.2056,1,0.196463138,30.07843748,17,61,152
E01000110,Barking and Dagenham 002C,18.673,18.673,1,9.91E-05,0.013187147,2,30,74
E01000116,Barnet 009B,30102.6719,10034.22397,3,0.122704621,17.52192776,17,16,90
E01000117,Barnet 010A,19067.6285,6355.876167,3,0.057888817,10.48247856,6,33,110
E01000118,Barnet 010B,24693.6247,4115.604117,6,0.08661861,12.75497144,4,25,88
E01000121,Barnet 010C,193108.5603,48277.14008,4,0.512712621,128.9970343,3,32,72
E01000123,Barnet 010D,179564.6746,59854.89153,3,0.342320042,107.9114631,13,48,125
E01000124,Barnet 010E,21440.9898,21440.9898,1,0.08245717,13.22701407,168,50,328
E01000127,Barnet 024B,71351.3392,71351.3392,1,0.363488063,47.40952771,15,39,105
E01000128,Barnet 024C,29379.7637,29379.7637,1,0.120997231,15.71950974,9,30,108
E01000129,Barnet 024D,4078.0188,4078.0188,1,0.023534771,2.288450505,61,106,321
E01000131,Barnet 024E,121607.6195,60803.80975,2,0.363892943,67.33533749,11,28,124
E01000132,Barnet 021B,26186.3405,26186.3405,1,0.171148039,17.71741576,7,30,82
E01000133,Barnet 021C,426.6561,426.6561,1,0.002677171,0.266493504,6,42,103
E01000134,Barnet 024F,8802.5604,8802.5604,1,0.05491381,5.393725735,6,23,65
E01000139,Barnet 041B,793.2263,793.2263,1,0.002245913,0.555091882,12,27,84
E01000140,Barnet 041C,2921.2364,2921.2364,1,0.02024807,1.791070754,26,43,133
E01000141,Barnet 039A,7113.9707,3556.98535,2,0.019250835,3.381164781,161,120,566
E01000148,Barnet 030B,3508.5674,1754.2837,2,0.015274258,1.873234063,46,83,240
E01000150,Barnet 036A,25139.2743,25139.2743,1,0.054213081,12.20353121,51,27,155
E01000152,Barnet 026C,10083.8467,5041.92335,2,0.055852259,5.832184326,13,39,137
E01000153,Barnet 026D,40170.9021,13390.3007,3,0.242161223,26.06807404,10,51,150
E01000155,Barnet 030D,4938.2595,2469.12975,2,0.016675911,2.626733777,54,93,293
E01000158,Barnet 015A,52077.3132,52077.3132,1,0.192833138,35.42674367,10,39,122
E01000159,Barnet 015B,123358.503,61679.2515,2,0.248456725,69.41952898,10,22,98
E01000162,Barnet 015E,440.7391,440.7391,1,0.002401328,0.275634209,25,42,161
E01000163,Barnet 022C,12753.2189,12753.2189,1,0.064784628,8.185634724,11,27,91
E01000164,Barnet 022D,153366.4959,51122.1653,3,0.27843686,90.96470694,176,40,318
E01000165,Barnet 022E,1942.3487,971.17435,2,0.010285254,1.043151826,5,32,107
E01000166,Barnet 003A,115973.076,38657.692,3,0.309473094,73.30788622,4,21,74
E01000167,Barnet 002A,241147.5785,80382.52617,3,0.402186824,184.5046507,7,25,86
E01000169,Barnet 003C,3855.2279,3855.2279,1,0.016236285,2.587401275,5,20,76
E01000170,Barnet 006A,843.5377,843.5377,1,0.002846589,0.515609841,14,37,111
E01000171,Barnet 006B,32443.5858,16221.7929,2,0.097467762,17.54655803,61,60,239
E01000173,Barnet 006C,90456.1698,45228.0849,2,0.246456623,52.62139023,11,15,85
E01000174,Barnet 006D,6865.466,6865.466,1,0.036591977,3.973070602,42,39,146
E01000175,Barnet 006E,209274.9069,41854.98138,5,0.416187749,132.0346416,4,15,63
E01000184,Barnet 027C,465513.4466,155171.1489,3,0.681811478,329.2174304,11,23,98
E01000185,Barnet 029F,20085.4286,20085.4286,1,0.168813459,13.88073849,5,28,76
E01000194,Barnet 018C,2697.3909,2697.3909,1,0.008134132,1.644750549,40,60,220
E01000222,Barnet 040C,165702.5029,165702.5029,1,0.401378394,104.7424165,7,48,112
E01000224,Barnet 040D,1894.8881,1894.8881,1,0.011653776,1.215450994,4,15,75
E01000226,Barnet 018D,4428.4836,4428.4836,1,0.025086807,2.519046416,12,24,76
E01000229,Barnet 013B,27903.5152,27903.5152,1,0.099136424,16.73876137,4,22,64
E01000231,Barnet 013D,5371.4302,5371.4302,1,0.01481795,2.905046079,119,28,216
E01000235,Barnet 021E,110638.151,36879.38367,3,0.313737223,65.54392832,19,35,151
E01000236,Barnet 034A,1366.0279,683.01395,2,0.005993993,0.734423602,10,24,82
E01000238,Barnet 034B,22447.4005,22447.4005,1,0.10277533,11.43525242,13,20,88
E01000240,Barnet 031B,141564.3606,141564.3606,1,0.322645109,84.7690782,11,41,122
E01000244,Barnet 032D,11893.7514,5946.8757,2,0.053638628,6.975807273,24,24,114
E01000247,Barnet 002C,24387.027,24387.027,1,0.091056634,14.42165996,6,19,59
E01000252,Barnet 002E,11714.3903,3904.796767,3,0.051455154,7.280540895,76,29,153
E01000255,Barnet 017A,260899.2581,65224.81453,4,0.241743163,176.1642526,4,19,83
E01000257,Barnet 017B,51949.751,12987.43775,4,0.077138565,28.0052566,106,36,212
E01000260,Barnet 025E,270870.4149,270870.4149,1,0.330466931,136.6651942,67,44,231
E01000264,Barnet 016D,0.1225,0.1225,1,3.22E-07,7.43E-05,71,65,262
E01000269,Barnet 005C,16354.95,16354.95,1,0.059894668,11.47715789,9,7,45
E01000274,Barnet 011C,7685.1324,7685.1324,1,0.028859419,4.127353598,29,21,109
