Codes,Names,lntheft,oldpeoplerate,Working-agerate, Couplehouseholdwithdependentchildren,Couplehouseholdwithoutdependentchildren,Onepersonhousehold,multpersonhousehold,Goodhealth,Fairhealth,Badhealth,Nocars,car1,car2
E01000818,Bromley 040B,1.39 ,16.97 ,63.94 ,23.40 ,40.80 ,20.40 ,6.00 ,85.30 ,11.30 ,3.30 ,11.60 ,46.80 ,30.60 
E01000819,Bromley 040C,3.76 ,13.27 ,63.57 ,16.80 ,18.80 ,35.10 ,9.50 ,79.90 ,13.30 ,6.70 ,39.10 ,43.40 ,15.90 
E01000820,Bromley 008C,2.77 ,17.15 ,64.84 ,17.90 ,26.40 ,40.70 ,5.30 ,81.50 ,13.10 ,5.40 ,28.10 ,44.00 ,21.30 
E01000822,Bromley 008D,1.61 ,13.57 ,68.34 ,18.30 ,27.10 ,36.70 ,6.60 ,85.90 ,9.90 ,4.20 ,30.80 ,50.60 ,15.00 
E01000823,Bromley 008E,2.08 ,9.67 ,71.30 ,21.20 ,29.30 ,34.40 ,7.20 ,89.00 ,8.80 ,2.30 ,19.50 ,54.80 ,19.90 
E01000824,Bromley 008F,2.40 ,8.46 ,70.40 ,23.70 ,25.10 ,32.30 ,8.40 ,86.20 ,9.90 ,4.00 ,30.00 ,51.20 ,16.00 
E01000825,Bromley 008G,1.79 ,14.81 ,68.47 ,14.70 ,23.80 ,44.60 ,5.90 ,83.60 ,11.40 ,5.00 ,35.90 ,52.30 ,10.70 
E01000826,Bromley 021A,1.79 ,18.03 ,60.92 ,34.10 ,43.00 ,15.80 ,3.40 ,89.40 ,9.10 ,1.50 ,5.90 ,31.60 ,44.40 
E01000827,Bromley 021B,4.04 ,22.64 ,60.70 ,18.70 ,33.30 ,37.10 ,5.10 ,84.80 ,11.70 ,3.50 ,22.40 ,49.10 ,24.10 
E01000828,Bromley 011E,2.30 ,21.59 ,61.99 ,17.20 ,27.90 ,39.80 ,6.90 ,83.60 ,12.30 ,4.10 ,24.00 ,48.30 ,22.30 
E01000829,Bromley 018E,1.61 ,13.27 ,66.07 ,25.20 ,27.00 ,30.90 ,8.40 ,87.90 ,9.40 ,2.70 ,23.40 ,54.10 ,19.30 
E01000830,Bromley 021C,1.39 ,19.68 ,59.48 ,30.10 ,44.70 ,14.00 ,5.10 ,89.80 ,8.50 ,1.70 ,4.20 ,27.90 ,46.90 
E01000831,Bromley 021D,1.79 ,23.41 ,61.04 ,17.70 ,30.70 ,42.30 ,3.50 ,85.60 ,10.40 ,4.00 ,25.00 ,44.50 ,24.30 
E01000832,Bromley 030A,2.20 ,19.42 ,60.89 ,27.40 ,34.80 ,26.60 ,5.20 ,85.40 ,11.50 ,3.10 ,16.40 ,38.50 ,35.00 
E01000834,Bromley 027E,1.39 ,13.93 ,64.08 ,34.10 ,33.60 ,14.80 ,6.70 ,89.80 ,8.90 ,1.30 ,8.90 ,41.00 ,38.20 
E01000835,Bromley 030B,3.91 ,17.16 ,61.65 ,24.50 ,23.10 ,29.60 ,7.30 ,85.80 ,11.00 ,3.20 ,22.70 ,46.60 ,24.20 
E01000836,Bromley 030C,0.69 ,14.52 ,62.51 ,34.80 ,32.80 ,16.60 ,4.00 ,90.00 ,7.90 ,2.10 ,8.20 ,47.40 ,34.40 
E01000837,Bromley 030D,1.95 ,22.82 ,57.34 ,20.90 ,28.90 ,34.60 ,6.30 ,81.80 ,12.90 ,5.30 ,23.20 ,48.20 ,20.90 
E01000838,Bromley 030E,2.48 ,24.15 ,57.87 ,27.90 ,37.20 ,23.00 ,4.70 ,82.00 ,13.30 ,4.70 ,13.30 ,42.30 ,32.30 
E01000840,Bromley 030G,1.39 ,32.47 ,54.51 ,16.60 ,45.00 ,29.80 ,4.40 ,79.40 ,15.50 ,5.00 ,22.90 ,34.30 ,31.50 
E01000841,Bromley 030H,2.40 ,20.33 ,61.00 ,26.40 ,36.50 ,23.10 ,6.30 ,86.40 ,11.00 ,2.60 ,15.00 ,43.10 ,34.30 
E01000842,Camden 011A,2.30 ,13.92 ,73.13 ,13.40 ,25.70 ,47.00 ,9.70 ,89.70 ,7.80 ,2.50 ,48.80 ,42.40 ,7.20 
E01000843,Camden 014A,2.83 ,10.91 ,70.74 ,14.80 ,22.60 ,41.80 ,11.80 ,87.30 ,9.00 ,3.70 ,57.40 ,37.10 ,4.70 
E01000844,Camden 011B,3.64 ,9.65 ,74.04 ,16.80 ,25.60 ,41.60 ,12.30 ,89.50 ,7.40 ,3.00 ,53.30 ,36.60 ,9.30 
E01000845,Camden 014B,3.76 ,11.82 ,73.98 ,12.40 ,22.70 ,46.50 ,12.60 ,87.60 ,7.90 ,4.50 ,47.90 ,42.80 ,7.30 
E01000846,Camden 014C,3.37 ,14.12 ,60.89 ,17.20 ,16.60 ,35.70 ,11.50 ,82.50 ,11.10 ,6.30 ,53.90 ,36.00 ,7.50 
E01000847,Camden 014D,3.78 ,11.21 ,63.40 ,20.20 ,17.40 ,34.40 ,13.70 ,85.10 ,9.70 ,5.20 ,48.00 ,37.70 ,11.10 
E01000848,Camden 011C,3.04 ,12.22 ,73.68 ,13.30 ,30.10 ,43.20 ,10.30 ,89.00 ,8.10 ,2.80 ,49.20 ,43.50 ,6.60 
E01000849,Camden 011D,4.11 ,12.81 ,74.63 ,10.00 ,18.30 ,54.10 ,12.90 ,88.30 ,8.80 ,2.90 ,63.60 ,31.70 ,4.20 
E01000850,Camden 026A,6.90 ,8.32 ,86.84 ,6.00 ,20.20 ,48.80 ,22.10 ,88.60 ,7.60 ,3.80 ,75.30 ,21.50 ,2.60 
E01000851,Camden 026B,5.62 ,4.62 ,89.68 ,4.20 ,18.10 ,49.10 ,25.00 ,91.30 ,6.10 ,2.60 ,75.80 ,20.30 ,3.30 
E01000852,Camden 026C,5.74 ,9.83 ,87.46 ,3.50 ,12.30 ,62.10 ,18.40 ,88.00 ,8.80 ,3.20 ,83.70 ,14.90 ,1.10 
E01000853,Camden 025A,5.21 ,19.44 ,65.36 ,6.30 ,12.30 ,55.80 ,14.20 ,72.70 ,17.00 ,10.30 ,83.30 ,14.50 ,1.90 
E01000854,Camden 026D,6.57 ,7.91 ,80.25 ,6.10 ,14.80 ,43.20 ,27.60 ,86.50 ,8.20 ,5.20 ,78.60 ,18.00 ,2.60 
E01000855,Camden 028A,6.88 ,12.59 ,84.52 ,2.30 ,13.40 ,67.50 ,15.20 ,85.10 ,11.30 ,3.60 ,81.30 ,16.60 ,1.60 
E01000856,Camden 019A,5.02 ,6.63 ,72.04 ,14.80 ,17.70 ,32.60 ,20.50 ,81.20 ,11.30 ,7.50 ,66.90 ,27.50 ,5.10 
E01000857,Camden 018A,2.89 ,14.44 ,68.56 ,15.70 ,23.00 ,43.90 ,10.80 ,83.40 ,10.90 ,5.70 ,45.80 ,41.10 ,10.60 
E01000858,Camden 018B,5.73 ,7.52 ,73.24 ,12.90 ,17.20 ,37.00 ,16.60 ,78.50 ,12.30 ,9.20 ,66.20 ,29.40 ,4.00 
E01000859,Camden 018C,4.20 ,12.11 ,72.82 ,14.90 ,22.40 ,47.10 ,11.80 ,89.20 ,7.20 ,3.60 ,44.10 ,44.10 ,10.00 
E01000860,Camden 018D,2.83 ,23.11 ,64.42 ,8.90 ,16.70 ,64.60 ,5.60 ,79.30 ,13.90 ,6.70 ,65.20 ,27.90 ,6.00 
E01000861,Camden 019B,5.32 ,7.62 ,80.30 ,7.10 ,14.70 ,43.20 ,24.00 ,83.30 ,11.30 ,5.40 ,73.00 ,23.70 ,3.20 
E01000862,Camden 018E,5.11 ,14.37 ,71.20 ,14.10 ,31.30 ,35.90 ,14.50 ,90.90 ,6.60 ,2.50 ,44.00 ,40.80 ,11.40 
E01000863,Camden 021A,6.82 ,7.63 ,82.58 ,8.10 ,23.80 ,38.20 ,21.90 ,87.00 ,8.80 ,4.20 ,72.90 ,22.30 ,4.20 
E01000864,Camden 015A,4.62 ,8.20 ,78.40 ,10.60 ,22.30 ,37.00 ,19.70 ,84.50 ,10.30 ,5.30 ,59.30 ,34.30 ,5.30 
E01000865,Camden 015B,4.36 ,7.57 ,83.32 ,12.90 ,20.60 ,40.40 ,21.30 ,90.20 ,6.40 ,3.50 ,55.90 ,36.80 ,6.00 
E01000866,Camden 009A,4.11 ,11.82 ,72.76 ,11.60 ,18.30 ,39.30 ,18.50 ,80.30 ,12.10 ,7.60 ,62.20 ,32.20 ,5.20 
E01000867,Camden 015C,3.30 ,9.51 ,71.39 ,8.90 ,18.10 ,35.40 ,24.90 ,80.60 ,12.20 ,7.20 ,72.40 ,24.00 ,3.00 
E01000868,Camden 015D,1.95 ,6.17 ,66.57 ,15.80 ,14.60 ,37.50 ,14.40 ,78.50 ,13.20 ,8.30 ,63.70 ,33.00 ,2.60 
