lsoa,names,unemployment_rate,couple_household_without_dependent_children,lone_parent_household,ethnic_white,ethnic_black,ethnic_bame,tenure_owned_with_a_mortgage_or_loan,no_qualifications,good_health,bad_health
E01001807,Hackney 003D,1108,1908,1204,61,1907,39,1404,2401,8506,506
E01001812,Hackney 003E,1009,1603,1102,6901,1302,3009,1308,2808,8402,604
E01001725,Hackney 004A,1102,1509,1204,6105,1404,3805,1306,2908,8608,405
E01001726,Hackney 004B,14,1207,2404,4103,3003,5807,1205,2407,8309,502
E01001800,Hackney 004C,1102,1107,1504,5907,2003,4003,504,3301,8203,703
E01001824,Hackney 004D,1405,1508,1706,5609,2108,4301,1302,3209,8205,603
E01001826,Hackney 004E,1007,1303,1506,6103,17,3807,1008,3405,8306,604
E01001723,Hackney 006A,703,2208,803,5903,907,4007,1803,1909,8604,5
E01001724,Hackney 006B,601,1805,707,6306,1102,3604,2004,1203,8709,402
E01001727,Hackney 006C,6,1708,802,6208,1207,3702,1803,23,9002,306
E01001768,Hackney 006D,704,1909,1207,5608,1903,4302,2401,1409,8301,507
E01001769,Hackney 006E,10,1906,1108,5307,2206,4603,1708,1407,8401,405
E01001715,Hackney 007A,509,2101,508,7005,1009,2905,1905,604,8809,302
E01001716,Hackney 007B,608,1707,908,5607,1907,4303,1306,1503,8007,606
E01001717,Hackney 007C,704,2105,1405,5809,1303,4101,1708,1509,8502,607
E01001718,Hackney 007D,304,2606,306,7503,501,2407,2308,608,9003,204
E01001719,Hackney 007E,705,1603,1503,52,2404,48,1108,2305,7606,8
E01001720,Hackney 007F,309,2301,509,7505,802,2405,2307,603,9004,305
E01001742,Hackney 008A,604,1408,18,5506,2008,4404,2108,1602,8105,706
E01001801,Hackney 008B,807,1702,1009,72,1108,28,1508,3106,8105,704
E01001803,Hackney 008C,505,2101,1007,7507,604,2403,2405,1304,88,402
E01001806,Hackney 008D,805,1909,1607,6308,1905,3602,1909,1605,8009,704
E01001741,Hackney 009A,305,2205,808,7207,809,2703,3401,1101,8708,406
E01001805,Hackney 009B,609,2307,708,6902,1203,3008,2002,12,8608,404
E01001829,Hackney 009C,503,2008,8,7703,709,2207,3509,903,89,308
E01001831,Hackney 009D,504,2206,901,63,1504,37,1703,1407,8307,502
E01001832,Hackney 009E,709,1903,1001,5604,1409,4306,2105,1406,8407,6
E01001764,Hackney 010A,1001,1707,1402,4901,2405,5009,19,1706,8302,502
E01001765,Hackney 010B,1804,1102,1908,3102,4002,6808,601,2906,7505,901
E01001767,Hackney 010D,1004,1602,1604,5108,2201,4802,2001,1507,83,601
E01001770,Hackney 010E,1309,1303,1606,4004,3203,5906,1304,2407,7901,801
E01033703,Hackney 010F,1009,1404,1303,5204,2309,4706,1303,20,7802,906
E01033713,Hackney 010G,1108,1706,1405,5208,2004,4702,2203,1708,8102,608
E01001792,Hackney 011A,908,1704,1606,4505,2006,5405,2008,1809,7708,8
E01001793,Hackney 011B,1006,1708,1303,5104,2502,4806,2108,1604,8402,407
