Codes,Names,over65,Workingage,Couple_househol_ with_dependent_children,Couple_household_without_dependent_children,One_person_household,Other_multi_person_household,Good_health,Fair_health,Bad_health,No_cars,car1,car2,No_qualifications,Level_1_qualifications,Level_2_qualifications, Apprenticeship,Level_3_qualifications,Level_4_qualifications_and_above,Other_qualifications,lntheft
E01000068,Barking and Dagenham 016E,10.4402516,68.6792453,21.4,23.8,18.2,26,84.3,11.7,4,25.1,42.2,26.4,22.5,13.5,12.3,2,11.2,26.5,12,2.10121534
E01000069,Barking and Dagenham 011C,10.2098695,66.6477595,30.6,28.3,16,15.6,85.5,10.6,3.9,15.8,44.6,28.7,20.5,14.4,16.5,2.8,12.2,23.7,10,1.04242101
E01000070,Barking and Dagenham 011D,14.1772152,64.7088608,24.7,29.6,17.9,19.2,82.2,13.4,4.4,25.6,42.8,23.1,22.8,13,13.9,2.4,10.3,25.7,11.9,2.84579213
E01000071,Barking and Dagenham 011E,12.3391034,63.7372392,22.5,24.5,28.3,13.8,83.9,11.1,5,28.2,47.8,18.7,22.3,13.7,13,2,10.6,28.2,10.2,2.32323155
E01000072,Barking and Dagenham 017E,11.0497238,61.3259669,20.3,15.9,30.9,10.6,79.7,13.7,6.7,45,41.3,12.1,32.3,16.8,14.8,3.1,8.7,16.3,8,2.71256036
E01000073,Barking and Dagenham 012B,11.5503397,61.4576899,23,19,27.9,10.2,78.4,13.8,7.8,35.2,47.4,15,30.6,18,15,3,7.6,17.1,8.6,1.9160866
E01000074,Barking and Dagenham 012C,10.2744097,61.7740906,20.3,19.4,31.8,7.2,79.3,14.2,6.5,40.4,43.6,13.2,29.3,17.4,16,2.4,9.8,16.7,8.4,1.34259651
E01000075,Barking and Dagenham 012D,12.3556582,62.7020785,22.7,25.7,25.6,11.9,79.4,12.9,7.7,32.2,46.5,16.9,31.8,16.5,16.7,2.5,8.8,15.4,8.4,2.66959901
E01000076,Barking and Dagenham 012E,9.00402414,60.5633803,22,18.5,28.6,11.7,79,15,5.9,39.4,41,15.5,36.2,13.7,15.7,2.2,7.6,16.1,8.5,1.71076616
E01000077,Barking and Dagenham 008F,10.449827,65.9515571,20,19.3,26.6,12,78.7,13.8,7.5,39.5,45.5,13.4,31.4,17,16.4,2.2,8.3,15.6,9.1,1.82911526
E01000078,Barking and Dagenham 007B,9.90396158,63.3853541,19.9,17.7,28.7,9.9,80.1,13.6,6.3,39.4,43.1,14.9,32.2,17,16.3,1.9,9.3,15.6,7.8,1.88746973
E01000079,Barking and Dagenham 009E,13.9068564,59.5084088,21,17.7,31.9,10.2,77,14.4,8.7,42.2,39.7,14.1,33,15.2,14.9,1.7,9.4,18,7.8,0.25747623
E01000080,Barking and Dagenham 007C,11.2467866,63.2390746,19,21,28.8,10.6,78.3,13.4,8.3,39.9,44.9,12,31.9,15.9,17.6,1.8,8.4,15.8,8.6,0.65649386
E01000081,Barking and Dagenham 007D,11.1374408,64.0995261,21.8,24.4,26.2,8.2,80.3,13.1,6.6,31.3,49.4,16.5,32.4,16.1,18.5,2.5,8.3,15.2,6.9,0.86274996
E01000082,Barking and Dagenham 007E,9.56625074,63.5769459,22.5,16.7,33.2,10.1,80.9,13.2,5.9,36.6,46.9,14,29.7,17.4,17.4,2,10.9,15.2,7.4,2.73751862
